case_id,pattern_id,primary_transaction_id,ml_pattern,risk_score,total_amount,num_transactions,date_detected,status,priority,assignee,notes,last_updated,resolution,date_closed,resolution_notes
CASE-0030,CASINO-36,CASINO-36-4,Casino-Investment,0.8252890491067635,31815.20750238419,4,2025-03-19 12:36:11.128864,Under Investigation,Medium,Emma Wilson,,2025-03-21 12:36:11.128864,,,
CASE-0031,CASINO-37,CASINO-37-4,Casino-Investment,0.8184722549132704,30350.972883875816,4,2025-03-31 12:36:11.129864,Pending Review,High,John Smith,,2025-04-02 12:36:11.129864,,,
CASE-0032,CASINO-38,CASINO-38-2,Casino-Investment,0.8498901045983926,42431.62211169167,5,2025-03-23 12:36:11.130864,Pending Review,High,John Smith,,2025-03-25 12:36:11.130864,,,
CASE-0033,CASINO-39,CASINO-39-3,Casino-Investment,0.8412920114151837,60320.46553318598,7,2025-03-20 12:36:11.131866,Under Investigation,High,John Smith,,2025-03-22 12:36:11.131866,,,
CASE-0034,CASINO-4,CASINO-4-3,Casino-Investment,0.8431453246823577,34962.66372149722,5,2025-03-16 12:36:11.132866,New,Medium,Unassigned,,2025-03-18 12:36:11.132866,,,
CASE-0035,CASINO-40,CASINO-40-5,Casino-Investment,0.8418477169300951,52947.440827000355,7,2025-04-06 12:36:11.133876,Pending Review,Medium,Michael Chen,,2025-04-08 12:36:11.133876,,,
CASE-0036,CASINO-5,CASINO-5-3,Casino-Investment,0.8478533490436835,26773.213861576856,4,2025-04-01 12:36:11.135871,Under Investigation,Low,Michael Chen,,2025-04-03 12:36:11.135871,,,
CASE-0037,CASINO-6,CASINO-6-4,Casino-Investment,0.8492094244252931,45954.69554009002,6,2025-03-25 12:36:11.136869,Under Investigation,Medium,Michael Chen,,2025-03-27 12:36:11.136869,,,
CASE-0038,CASINO-7,CASINO-7-3,Casino-Investment,0.8457175511699564,38172.21607711876,5,2025-03-12 12:36:11.137865,Under Investigation,Medium,John Smith,,2025-03-14 12:36:11.137865,,,
CASE-0039,CASINO-8,CASINO-8-4,Casino-Investment,0.8429027666858876,31717.596255129505,4,2025-03-14 12:36:11.139869,Under Investigation,Medium,Emma Wilson,,2025-03-16 12:36:11.139869,,,
CASE-0040,CASINO-9,CASINO-9-3,Casino-Investment,0.7797451806950757,55280.403862572006,7,2025-03-17 12:36:11.140865,New,High,John Smith,,2025-03-19 12:36:11.140865,,,
CASE-0041,COMPLEX-1,COMPLEX-1-7,Complex-Financing,0.9127759818049967,6168768.55194203,8,2025-04-01 12:36:11.142504,Under Investigation,Medium,Michael Chen,,2025-04-03 12:36:11.142504,,,
CASE-0042,COMPLEX-10,COMPLEX-10-3,Complex-Financing,0.9542856713100044,9767296.562902119,5,2025-03-27 12:36:11.142504,New,Low,Michael Chen,,2025-03-29 12:36:11.142504,,,
CASE-0043,COMPLEX-11,COMPLEX-11-6,Complex-Financing,0.9540940685886824,8358816.368668401,9,2025-04-02 12:36:11.142504,Under Investigation,High,John Smith,,2025-04-04 12:36:11.142504,,,
CASE-0044,COMPLEX-12,COMPLEX-12-4,Complex-Financing,0.9689228658023318,8612005.335845824,5,2025-04-05 12:36:11.142504,New,High,Michael Chen,,2025-04-07 12:36:11.142504,,,
CASE-0045,COMPLEX-13,COMPLEX-13-6,Complex-Financing,0.9655548332372904,8309542.805118638,8,2025-03-19 12:36:11.142504,New,High,Emma Wilson,,2025-03-21 12:36:11.142504,,,
CASE-0046,COMPLEX-14,COMPLEX-14-9,Complex-Financing,0.9691498224376898,4237845.97446092,9,2025-03-27 12:36:11.142504,Under Investigation,Low,Michael Chen,,2025-03-29 12:36:11.142504,,,
CASE-0047,COMPLEX-15,COMPLEX-15-5,Complex-Financing,0.9462306199181086,8303062.040283563,6,2025-03-25 12:36:11.142504,New,Low,Michael Chen,,2025-03-27 12:36:11.142504,,,
CASE-0048,COMPLEX-16,COMPLEX-16-6,Complex-Financing,0.97741328595491,3788350.04482626,8,2025-03-18 12:36:11.142504,New,Medium,Emma Wilson,,2025-03-20 12:36:11.142504,,,
CASE-0049,COMPLEX-17,COMPLEX-17-5,Complex-Financing,0.9775354481811328,8843462.826424621,10,2025-03-13 12:36:11.158134,Pending Review,High,Michael Chen,,2025-03-15 12:36:11.158134,,,
CASE-0050,COMPLEX-18,COMPLEX-18-7,Complex-Financing,0.9684922002608696,8896578.15000092,8,2025-03-09 12:36:11.158134,Under Investigation,Low,Emma Wilson,,2025-03-11 12:36:11.158134,,,
CASE-0051,COMPLEX-19,COMPLEX-19-1,Complex-Financing,0.9638986619565209,2135755.476287583,10,2025-03-30 12:36:11.158134,Under Investigation,Low,John Smith,,2025-04-01 12:36:11.158134,,,
CASE-0052,COMPLEX-2,COMPLEX-2-2,Complex-Financing,0.9720562772601672,4464607.967917312,7,2025-03-15 12:36:11.158134,Pending Review,Low,Emma Wilson,,2025-03-17 12:36:11.158134,,,
CASE-0053,COMPLEX-20,COMPLEX-20-3,Complex-Financing,0.9592703010385027,5929828.016916061,8,2025-03-21 12:36:11.158134,Pending Review,Low,Emma Wilson,,2025-03-23 12:36:11.158134,,,
CASE-0054,COMPLEX-21,COMPLEX-21-6,Complex-Financing,0.9743614334705872,4688408.3700047415,10,2025-03-31 12:36:11.158134,Pending Review,Medium,Michael Chen,,2025-04-02 12:36:11.158134,,,
CASE-0055,COMPLEX-22,COMPLEX-22-6,Complex-Financing,0.9634290186420952,2314895.5339370295,8,2025-03-29 12:36:11.158134,New,High,Michael Chen,,2025-03-31 12:36:11.158134,,,
CASE-0056,COMPLEX-23,COMPLEX-23-2,Complex-Financing,0.9575788438567332,3205062.6102975383,10,2025-03-16 12:36:11.158134,Pending Review,Low,Emma Wilson,,2025-03-18 12:36:11.158134,,,
CASE-0057,COMPLEX-24,COMPLEX-24-3,Complex-Financing,0.9453565433393452,5153359.604225785,9,2025-03-20 12:36:11.158134,Closed,High,John Smith,,2025-03-22 12:36:11.158134,True Positive,2025-03-21 12:36:11.158134,Case True Positive. Reported to regulatory authorities.
CASE-0058,COMPLEX-25,COMPLEX-25-6,Complex-Financing,0.929523899307085,2557637.461653877,6,2025-03-15 12:36:11.158134,Under Investigation,Medium,Emma Wilson,,2025-03-17 12:36:11.158134,,,
CASE-0059,COMPLEX-26,COMPLEX-26-1,Complex-Financing,0.935962285427626,7359349.723765058,9,2025-03-26 12:36:11.158134,Under Investigation,Medium,Emma Wilson,,2025-03-28 12:36:11.158134,,,
CASE-0060,COMPLEX-27,COMPLEX-27-2,Complex-Financing,0.976726549339707,5057142.368285556,6,2025-03-17 12:36:11.173751,New,Medium,Emma Wilson,,2025-03-19 12:36:11.173751,,,
CASE-0061,COMPLEX-28,COMPLEX-28-3,Complex-Financing,0.9687814614971092,4046790.7902930374,6,2025-03-31 12:36:11.173751,Closed,High,Michael Chen,,2025-04-02 12:36:11.173751,True Positive,2025-04-05 12:36:11.173751,Case True Positive. Additional documentation received and reviewed.
CASE-0062,COMPLEX-29,COMPLEX-29-4,Complex-Financing,0.9671539940976304,3109527.195338438,6,2025-03-31 12:36:11.173751,Pending Review,Low,Emma Wilson,,2025-04-02 12:36:11.173751,,,
CASE-0063,COMPLEX-3,COMPLEX-3-10,Complex-Financing,0.9556212453882028,2832634.166998065,10,2025-03-25 12:36:11.173751,New,High,Emma Wilson,,2025-03-27 12:36:11.173751,,,
CASE-0064,COMPLEX-30,COMPLEX-30-6,Complex-Financing,0.9784305301688624,7965930.821034567,10,2025-03-10 12:36:11.173751,Pending Review,Medium,Michael Chen,,2025-03-12 12:36:11.173751,,,
CASE-0065,COMPLEX-4,COMPLEX-4-6,Complex-Financing,0.9782837560782598,4979872.260032871,7,2025-04-02 12:36:11.173751,Closed,Medium,Emma Wilson,,2025-04-04 12:36:11.173751,True Positive,2025-04-05 12:36:11.173751,Case True Positive. Additional documentation received and reviewed.
CASE-0066,COMPLEX-5,COMPLEX-5-6,Complex-Financing,0.960220008512134,8962831.994445197,10,2025-03-31 12:36:11.173751,Under Investigation,Medium,Emma Wilson,,2025-04-02 12:36:11.173751,,,
CASE-0067,COMPLEX-6,COMPLEX-6-2,Complex-Financing,0.9767578802383968,4321992.351701023,7,2025-04-04 12:36:11.173751,New,Medium,Unassigned,,2025-04-06 12:36:11.173751,,,
CASE-0068,COMPLEX-7,COMPLEX-7-2,Complex-Financing,0.972735418419992,4696142.4972863,6,2025-03-27 12:36:11.173751,New,High,Michael Chen,,2025-03-29 12:36:11.173751,,,
CASE-0069,COMPLEX-8,COMPLEX-8-5,Complex-Financing,0.9522392407155524,3019324.1504124273,6,2025-03-13 12:36:11.173751,New,High,Michael Chen,,2025-03-15 12:36:11.173751,,,
CASE-0070,COMPLEX-9,COMPLEX-9-4,Complex-Financing,0.9406886277253086,8917390.228678033,6,2025-03-20 12:36:11.173751,Under Investigation,Medium,Emma Wilson,,2025-03-22 12:36:11.173751,,,
CASE-0071,TBML-1,TBML-1-3,TBML,0.9497306271158332,5157443.821517235,4,2025-03-13 12:36:11.173751,Under Investigation,Medium,Emma Wilson,,2025-03-15 12:36:11.173751,,,
CASE-0072,TBML-10,TBML-10-1,TBML,0.8378667196843174,9378125.71641398,3,2025-03-12 12:36:11.173751,Closed,Low,Unassigned,,2025-03-14 12:36:11.173751,True Positive,2025-03-21 12:36:11.173751,Case True Positive. Additional documentation received and reviewed.
CASE-0073,TBML-11,TBML-11-2,TBML,0.9149855593104714,7756701.096770115,5,2025-04-04 12:36:11.189377,Under Investigation,Medium,Unassigned,,2025-04-06 12:36:11.189377,,,
CASE-0074,TBML-12,TBML-12-2,TBML,0.8186296333785349,6587934.128618557,5,2025-03-18 12:36:11.189377,Pending Review,Medium,Emma Wilson,,2025-03-20 12:36:11.189377,,,
CASE-0075,TBML-13,TBML-13-2,TBML,0.875686643622269,5954137.360559912,4,2025-03-21 12:36:11.189377,Closed,Low,Michael Chen,,2025-03-23 12:36:11.189377,False Positive,2025-04-03 12:36:11.189377,Case False Positive. Reported to regulatory authorities.
CASE-0076,TBML-14,TBML-14-3,TBML,0.9365039013170904,10615701.878679026,3,2025-03-15 12:36:11.189377,Under Investigation,Medium,Unassigned,,2025-03-17 12:36:11.189377,,,
CASE-0077,TBML-15,TBML-15-2,TBML,0.8675266989305666,9669089.779930139,5,2025-03-23 12:36:11.189377,Under Investigation,Low,John Smith,,2025-03-25 12:36:11.189377,,,
CASE-0078,TBML-16,TBML-16-2,TBML,0.8980210741434881,11132566.628821144,5,2025-03-29 12:36:11.189377,Under Investigation,Medium,John Smith,,2025-03-31 12:36:11.189377,,,
CASE-0079,TBML-17,TBML-17-3,TBML,0.8874285433216995,15722965.0376583,5,2025-03-28 12:36:11.189377,Under Investigation,High,Michael Chen,,2025-03-30 12:36:11.189377,,,
CASE-0080,TBML-18,TBML-18-1,TBML,0.9065117966343116,10799296.80742989,5,2025-03-25 12:36:11.189377,Pending Review,High,Emma Wilson,,2025-03-27 12:36:11.189377,,,
CASE-0081,TBML-19,TBML-19-3,TBML,0.840052386009449,8214993.8450313965,3,2025-03-14 12:36:11.189377,Under Investigation,Medium,Michael Chen,,2025-03-16 12:36:11.189377,,,
CASE-0082,TBML-2,TBML-2-1,TBML,0.894023571554581,15120196.892384006,5,2025-03-25 12:36:11.189377,New,High,Emma Wilson,,2025-03-27 12:36:11.189377,,,
CASE-0083,TBML-20,TBML-20-3,TBML,0.9436249708156956,5361698.468467214,4,2025-03-28 12:36:11.189377,Closed,Medium,Michael Chen,,2025-03-30 12:36:11.189377,True Positive,2025-04-09 12:36:11.189377,Case True Positive. Customer explanation verified and accepted.
CASE-0084,TBML-21,TBML-21-2,TBML,0.8958378500310611,5978263.806660847,3,2025-03-12 12:36:11.189377,Pending Review,Low,Michael Chen,,2025-03-14 12:36:11.189377,,,
CASE-0085,TBML-22,TBML-22-4,TBML,0.905528559923299,2944431.3664584686,4,2025-03-09 12:36:11.205003,Under Investigation,High,Unassigned,,2025-03-11 12:36:11.205003,,,
CASE-0086,TBML-23,TBML-23-4,TBML,0.905377129224523,8218177.846715472,5,2025-03-20 12:36:11.205003,Pending Review,Medium,Emma Wilson,,2025-03-22 12:36:11.205003,,,
CASE-0087,TBML-24,TBML-24-3,TBML,0.9345497288564024,13600118.318534203,5,2025-03-09 12:36:11.205003,Pending Review,Medium,Michael Chen,,2025-03-11 12:36:11.205003,,,
CASE-0088,TBML-25,TBML-25-3,TBML,0.9485922440916984,3649424.2533704224,3,2025-04-02 12:36:11.205003,Closed,Medium,Michael Chen,,2025-04-04 12:36:11.205003,False Positive,2025-04-04 12:36:11.205003,Case False Positive. Reported to regulatory authorities.
CASE-0089,TBML-26,TBML-26-4,TBML,0.8734021486209589,14652765.297165602,5,2025-04-01 12:36:11.205003,Pending Review,Low,Emma Wilson,,2025-04-03 12:36:11.205003,,,
CASE-0090,TBML-27,TBML-27-2,TBML,0.9089863843527026,9687645.22967187,5,2025-03-27 12:36:11.205003,Under Investigation,High,Emma Wilson,,2025-03-29 12:36:11.205003,,,
CASE-0091,TBML-28,TBML-28-4,TBML,0.9495039539561148,8455394.649177806,5,2025-03-26 12:36:11.205003,Under Investigation,Low,Unassigned,,2025-03-28 12:36:11.205003,,,
CASE-0092,TBML-29,TBML-29-3,TBML,0.8837942125401699,7616018.3028977085,3,2025-03-22 12:36:11.205003,Under Investigation,Low,Emma Wilson,,2025-03-24 12:36:11.205003,,,
CASE-0093,TBML-3,TBML-3-2,TBML,0.9437856748465252,10548844.941383604,3,2025-03-18 12:36:11.205003,Closed,Low,John Smith,,2025-03-20 12:36:11.205003,True Positive,2025-03-24 12:36:11.205003,Case True Positive. Customer explanation verified and accepted.
CASE-0094,TBML-30,TBML-30-3,TBML,0.7963597292953114,9002424.345705295,3,2025-04-02 12:36:11.205003,New,High,Emma Wilson,,2025-04-04 12:36:11.205003,,,
CASE-0095,TBML-31,TBML-31-3,TBML,0.9448563489579846,12318620.42317875,5,2025-03-12 12:36:11.205003,Under Investigation,Low,Michael Chen,,2025-03-14 12:36:11.205003,,,
CASE-0096,TBML-32,TBML-32-3,TBML,0.9429496754708012,4338344.950497067,3,2025-03-16 12:36:11.205003,Closed,Medium,Michael Chen,,2025-03-18 12:36:11.205003,True Positive,2025-03-29 12:36:11.205003,Case True Positive. Reported to regulatory authorities.
CASE-0097,TBML-33,TBML-33-4,TBML,0.9496982127138844,6830826.087271838,5,2025-03-21 12:36:11.205003,New,High,John Smith,,2025-03-23 12:36:11.205003,,,
CASE-0098,TBML-34,TBML-34-3,TBML,0.897786241385518,5178446.78635099,5,2025-04-03 12:36:11.205003,New,Medium,Emma Wilson,,2025-04-05 12:36:11.205003,,,
CASE-0099,TBML-35,TBML-35-3,TBML,0.8505995795486391,7020864.267990239,5,2025-03-09 12:36:11.205003,Under Investigation,High,John Smith,,2025-03-11 12:36:11.205003,,,
CASE-0100,TBML-36,TBML-36-3,TBML,0.8076963671321917,9634317.174195424,3,2025-03-18 12:36:11.205003,Pending Review,Medium,Michael Chen,,2025-03-20 12:36:11.205003,,,
CASE-0101,TBML-37,TBML-37-2,TBML,0.932689117990538,9934421.902283931,4,2025-03-19 12:36:11.205003,Under Investigation,Medium,John Smith,,2025-03-21 12:36:11.205003,,,
CASE-0102,TBML-38,TBML-38-1,TBML,0.880621617613448,13233937.592630507,5,2025-03-14 12:36:11.220628,New,Low,Emma Wilson,,2025-03-16 12:36:11.220628,,,
CASE-0103,TBML-39,TBML-39-1,TBML,0.8832285747923763,5171753.933698094,4,2025-03-16 12:36:11.220628,Pending Review,Low,Unassigned,,2025-03-18 12:36:11.220628,,,
CASE-0104,TBML-4,TBML-4-2,TBML,0.8470256110794256,14704339.837914962,5,2025-04-01 12:36:11.220628,Pending Review,Medium,Michael Chen,,2025-04-03 12:36:11.220628,,,
CASE-0105,TBML-40,TBML-40-2,TBML,0.913774477655788,7852191.096538816,4,2025-03-08 12:36:11.220628,Pending Review,Medium,John Smith,,2025-03-10 12:36:11.220628,,,
CASE-0106,TBML-41,TBML-41-2,TBML,0.9244988196279216,3322013.6543240817,4,2025-04-03 12:36:11.220628,Under Investigation,Medium,Michael Chen,,2025-04-05 12:36:11.220628,,,
CASE-0107,TBML-42,TBML-42-4,TBML,0.8639049701112471,14480281.615340762,5,2025-04-04 12:36:11.220628,Under Investigation,Medium,Emma Wilson,,2025-04-06 12:36:11.220628,,,
CASE-0108,TBML-43,TBML-43-5,TBML,0.9301293169618025,9021110.631838541,5,2025-03-15 12:36:11.220628,Pending Review,Low,John Smith,,2025-03-17 12:36:11.220628,,,
CASE-0109,TBML-44,TBML-44-2,TBML,0.922517239578626,6038245.966559198,4,2025-04-04 12:36:11.220628,New,Low,Michael Chen,,2025-04-06 12:36:11.220628,,,
CASE-0110,TBML-45,TBML-45-2,TBML,0.9148863471960696,7781255.5547402445,3,2025-03-23 12:36:11.220628,Under Investigation,High,Michael Chen,,2025-03-25 12:36:11.220628,,,
CASE-0111,TBML-46,TBML-46-3,TBML,0.9434760963889028,9361396.457761975,4,2025-03-17 12:36:11.220628,Under Investigation,Medium,John Smith,,2025-03-19 12:36:11.220628,,,
CASE-0112,TBML-47,TBML-47-2,TBML,0.9045961390898628,7544008.889514005,5,2025-03-11 12:36:11.220628,New,Low,Emma Wilson,,2025-03-13 12:36:11.220628,,,
CASE-0113,TBML-48,TBML-48-3,TBML,0.9384913083313184,5636873.921440786,4,2025-03-24 12:36:11.220628,Pending Review,High,Michael Chen,,2025-03-26 12:36:11.220628,,,
CASE-0114,TBML-49,TBML-49-3,TBML,0.9391194553264036,2789440.829723625,3,2025-04-02 12:36:11.220628,Under Investigation,Low,Unassigned,,2025-04-04 12:36:11.220628,,,
CASE-0115,TBML-5,TBML-5-3,TBML,0.9455188774918646,4744533.947921479,3,2025-03-28 12:36:11.220628,Pending Review,High,John Smith,,2025-03-30 12:36:11.220628,,,
CASE-0116,TBML-50,TBML-50-3,TBML,0.8727354735042145,4147106.750123182,3,2025-03-13 12:36:11.236251,Under Investigation,Medium,Emma Wilson,,2025-03-15 12:36:11.236251,,,
CASE-0117,TBML-6,TBML-6-2,TBML,0.9418797969513102,17514892.714623112,5,2025-03-22 12:36:11.236251,Under Investigation,Medium,John Smith,,2025-03-24 12:36:11.236251,,,
CASE-0118,TBML-7,TBML-7-2,TBML,0.9468400511338336,7270218.444155606,4,2025-03-09 12:36:11.236251,Pending Review,Low,John Smith,,2025-03-11 12:36:11.236251,,,
CASE-0119,TBML-8,TBML-8-2,TBML,0.9448161495083044,8083953.932831639,4,2025-04-03 12:36:11.236251,Pending Review,Medium,John Smith,,2025-04-05 12:36:11.236251,,,
CASE-0120,TBML-9,TBML-9-1,TBML,0.9484245075317896,5966787.659971881,3,2025-03-24 12:36:11.236251,Pending Review,Medium,Unassigned,,2025-03-26 12:36:11.236251,,,
