transaction_id,transaction_date,transaction_amount,sector,report_type,province,year,month,day,day_of_week,amount_zscore,month_day
TX-000032,2022-03-22,1321.566432167378,Trust and Loan,LCTR,Alberta,2022,3,22,1,-0.44291627716353554,322
TX-000033,2022-08-12,16000.856334717586,Banking,STR,Ontario,2022,8,12,4,0.831955503418754,812
TX-000034,2022-06-09,3798.6133943657687,Securities,STR,Newfoundland and Labrador,2022,6,9,3,-0.22778889074035477,609
TX-000035,2022-09-12,9157.40994525758,Securities,CDR,Newfoundland and Labrador,2022,9,12,0,0.23761362845281148,912
TX-000036,2022-08-28,8973.895737284241,Banking,LCTR,Ontario,2022,8,28,6,0.22167572637210708,828
TX-000037,2022-09-16,4297.668111344257,Money Services,STR,Ontario,2022,9,16,4,-0.1844468231154198,916
TX-000038,2022-05-27,1870.7592433763764,Banking,CDR,Newfoundland and Labrador,2022,5,27,4,-0.39521979989814865,527
TX-000039,2022-02-08,20166.21592205377,Banking,LCTR,British Columbia,2022,2,8,1,1.193710018053024,208
TX-000040,2022-05-31,3659.806687585405,Money Services,STR,British Columbia,2022,5,31,1,-0.2398440211046037,531
TX-000041,2022-04-22,3827.20512316068,Securities,STR,Alberta,2022,4,22,4,-0.2253057469070579,422
TX-000042,2022-05-20,3865.848976625312,Real Estate,STR,Manitoba,2022,5,20,4,-0.22194959285586927,520
TX-000043,2022-05-27,6783.080484057174,Real Estate,ETR,Prince Edward Island,2022,5,27,4,0.031407085221883124,527
TX-000044,2022-04-26,357.8199326115339,Banking,ETR,Ontario,2022,4,26,1,-0.5266160490241114,426
TX-000045,2022-08-15,2047.4291020864864,Real Estate,CDR,Manitoba,2022,8,15,0,-0.3798763181054871,815
TX-000046,2022-12-04,3046.2068726323887,Securities,CDR,British Columbia,2022,12,4,6,-0.2931341389404954,1204
TX-000047,2022-03-09,1144.14888636869,Banking,ETR,Ontario,2022,3,9,2,-0.4583246943295197,309
TX-000048,2022-05-15,6661.761626349369,Banking,LCTR,Ontario,2022,5,15,6,0.02087074530551644,515
TX-000049,2022-01-22,1183.7873826342316,Trust and Loan,LCTR,Quebec,2022,1,22,5,-0.4548821572143643,122
TX-000050,2022-10-10,2560.140835394087,Securities,LCTR,Ontario,2022,10,10,0,-0.33534816145032514,1010
TX-000051,2022-11-13,3186.573977768752,Securities,ETR,Alberta,2022,11,13,6,-0.2809434905884053,1113
TX-000052,2022-06-21,20908.102053192848,Trust and Loan,CDR,Newfoundland and Labrador,2022,6,21,1,1.258141587922781,621
TX-000053,2022-08-21,23995.90566589883,Banking,LCTR,Ontario,2022,8,21,6,1.5263121681042526,821
TX-000054,2022-07-07,11531.993522467024,Banking,LCTR,Quebec,2022,7,7,3,0.4438422412341792,707
TX-000055,2022-09-13,3042.821182998734,Securities,LCTR,Quebec,2022,9,13,1,-0.29342818042345614,913
TX-000056,2022-11-19,4016.427401650227,Banking,LCTR,Saskatchewan,2022,11,19,5,-0.20887210844734624,1119
TX-000057,2022-05-07,3393.683603955824,Real Estate,ETR,Ontario,2022,5,7,5,-0.2629563658932949,507
TX-000058,2022-10-26,6382.858509953717,Securities,STR,Nova Scotia,2022,10,26,2,-0.0033515239574881087,1026
TX-000059,2022-11-02,12415.778583614036,Real Estate,LCTR,Ontario,2022,11,2,2,0.5205974958845269,1102
TX-000060,2022-06-22,902.4734746645756,Banking,LCTR,Alberta,2022,6,22,2,-0.47931379969412297,622
TX-000061,2022-05-23,2072.85819300248,Banking,LCTR,Alberta,2022,5,23,0,-0.37766784408325055,523
TX-000062,2022-06-02,697.095482183252,Trust and Loan,ETR,Quebec,2022,6,2,3,-0.49715053489761485,602
TX-000063,2022-11-01,153.41896597626192,Casino,LCTR,British Columbia,2022,11,1,1,-0.544367931166706,1101
TX-000064,2022-09-21,8001.305250293262,Banking,LCTR,Alberta,2022,9,21,2,0.13720786899215473,921
TX-000065,2022-12-31,903.0476878250428,Securities,LCTR,British Columbia,2022,12,31,5,-0.47926393024136477,1231
TX-000066,2022-05-24,34345.35181891093,Securities,LCTR,Prince Edward Island,2022,5,24,1,2.4251442596238055,524
TX-000067,2022-11-15,2552.38911597137,Money Services,STR,British Columbia,2022,11,15,1,-0.3360213853193692,1115
TX-000068,2022-11-14,10608.263782400967,Money Services,LCTR,British Columbia,2022,11,14,0,0.36361785801723345,1114
TX-000069,2022-01-01,2631.5315741739755,Banking,STR,British Columbia,2022,1,1,5,-0.32914799517051146,101
TX-000070,2022-08-25,1403.838366542547,Trust and Loan,ETR,Ontario,2022,8,25,3,-0.4357710972423597,825
TX-000071,2022-10-05,6884.172961710031,Banking,LCTR,British Columbia,2022,10,5,2,0.040186797854057744,1005
TX-000072,2022-03-27,58.16079986499467,Banking,STR,Alberta,2022,3,27,6,-0.5526409435979257,327
TX-000073,2022-08-26,37357.38337753437,Banking,STR,Prince Edward Island,2022,8,26,4,2.6867341636180853,826
TX-000074,2022-12-07,2925.0233352981845,Banking,LCTR,Newfoundland and Labrador,2022,12,7,2,-0.3036587265087045,1207
TX-000075,2022-01-10,22920.698066796984,Real Estate,STR,Alberta,2022,1,10,0,1.4329321861390183,110
TX-000076,2022-05-27,3228.3317480821383,Real Estate,LCTR,British Columbia,2022,5,27,4,-0.27731689806615223,527
TX-000077,2022-10-07,21651.103810926103,Real Estate,ETR,Ontario,2022,10,7,4,1.322670048096635,1007
TX-000078,2022-12-06,4087.643578547704,Securities,LCTR,Ontario,2022,12,6,1,-0.20268710257510872,1206
TX-000079,2022-06-28,9884.25180175662,Money Services,ETR,Ontario,2022,6,28,1,0.30073862822788144,628
TX-000080,2022-02-12,910.6960532034368,Banking,STR,Alberta,2022,2,12,5,-0.47859968249823626,212
TX-000081,2022-08-30,5833.612313621184,Banking,LCTR,Quebec,2022,8,30,1,-0.051052637631580654,830
TX-000082,2022-03-31,1812.638017149808,Banking,LCTR,Ontario,2022,3,31,3,-0.40026753120265945,331
TX-000083,2022-04-24,4867.011476378726,Real Estate,ETR,Quebec,2022,4,24,6,-0.13500030394707047,424
TX-000084,2022-09-06,3738.326082922323,Securities,LCTR,Ontario,2022,9,6,1,-0.23302474292371358,906
TX-000085,2022-04-09,2371.76468472265,Securities,ETR,New Brunswick,2022,4,9,5,-0.3517083151239719,409
TX-000086,2022-07-09,3910.9724916809087,Banking,LCTR,Ontario,2022,7,9,5,-0.21803069103112457,709
TX-000087,2022-12-21,444.9655890898719,Real Estate,LCTR,Quebec,2022,12,21,2,-0.519047594488361,1221
TX-000088,2022-12-08,1517.9422963164814,Banking,STR,Saskatchewan,2022,12,8,3,-0.4258613617518806,1208
TX-000089,2022-03-17,1916.551136398148,Trust and Loan,LCTR,Ontario,2022,3,17,3,-0.3912428505647373,317
TX-000090,2022-05-24,2687.166343959826,Banking,LCTR,Ontario,2022,5,24,1,-0.3243162084498983,524
TX-000091,2022-02-22,8725.069845863698,Casino,STR,Ontario,2022,2,22,1,0.2000656138015274,222
TX-000092,2022-08-11,232.63524378561277,Money Services,LCTR,Ontario,2022,8,11,3,-0.5374881299084473,811
TX-000093,2022-08-27,636.6773372574297,Casino,LCTR,British Columbia,2022,8,27,5,-0.5023977497501317,827
TX-000094,2022-01-07,2487.138527591828,Banking,LCTR,Quebec,2022,1,7,4,-0.34168828980478416,107
TX-000095,2022-07-13,345.2201649293007,Banking,CDR,Newfoundland and Labrador,2022,7,13,2,-0.5277103177773418,713
TX-000096,2022-11-17,13380.26303080774,Banking,CDR,Ontario,2022,11,17,3,0.6043613572634174,1117
TX-000097,2022-10-19,2078.0951382491053,Banking,ETR,Ontario,2022,10,19,2,-0.37721302414606694,1019
TX-000098,2022-04-01,1211.9261783391976,Banking,LCTR,Manitoba,2022,4,1,4,-0.45243834986251147,401
TX-000099,2022-08-30,2878.082570281857,Banking,STR,British Columbia,2022,8,30,1,-0.30773545345364095,830
TX-000100,2022-12-27,7252.3277699531645,Money Services,STR,Nova Scotia,2022,12,27,1,0.07216042730280348,1227
TX-000101,2022-11-08,3507.0179094100063,Securities,ETR,Saskatchewan,2022,11,8,1,-0.2531134709879815,1108
TX-000102,2022-06-22,178.0423840772194,Real Estate,LCTR,Saskatchewan,2022,6,22,2,-0.5422294284811684,622
TX-000103,2022-08-17,1237.493998866648,Money Services,STR,British Columbia,2022,8,17,2,-0.45021782740551053,817
TX-000104,2022-11-01,6095.594294542936,Securities,LCTR,Ontario,2022,11,1,1,-0.028299940688102085,1101
TX-000105,2022-05-24,7064.133179217522,Real Estate,CDR,Alberta,2022,5,24,1,0.055816041805966755,524
TX-000106,2022-12-24,2754.130727700885,Money Services,STR,British Columbia,2022,12,24,5,-0.3185004637032312,1224
TX-000107,2022-03-31,2172.383574899912,Banking,STR,Newfoundland and Labrador,2022,3,31,3,-0.3690242310968575,331
TX-000108,2022-08-16,45486.03254453912,Money Services,LCTR,New Brunswick,2022,8,16,1,3.392693750632424,816
TX-000109,2022-07-31,4467.329747059263,Banking,STR,Alberta,2022,7,31,6,-0.16971199377037657,731
TX-000110,2022-03-23,2405.8081470073776,Securities,CDR,Alberta,2022,3,23,2,-0.34875169735375017,323
TX-000111,2022-10-13,12348.116509722497,Banking,STR,Newfoundland and Labrador,2022,10,13,3,0.5147211579150035,1013
TX-000112,2022-03-06,2993.386011719481,Trust and Loan,LCTR,Ontario,2022,3,6,6,-0.29772154238105486,306
TX-000113,2022-08-05,30612.200026997714,Casino,ETR,Ontario,2022,8,5,4,2.100926269262191,805
TX-000114,2022-04-09,591.6392679883886,Banking,STR,Ontario,2022,4,9,5,-0.5063092307512008,409
TX-000115,2022-07-16,252844.6917599533,Trust and Loan,LCTR,Prince Edward Island,2022,7,16,5,21.401446547808614,716
TX-000116,2022-06-14,7612.278758053597,Securities,STR,British Columbia,2022,6,14,1,0.10342156869100035,614
TX-000117,2022-01-01,24283.857191464267,Money Services,STR,Ontario,2022,1,1,5,1.5513202765724432,101
TX-000118,2022-10-15,193.98448765822752,Banking,STR,Ontario,2022,10,15,5,-0.5408448834443531,1015
TX-000119,2022-04-28,10381.099022121289,Banking,ETR,Saskatchewan,2022,4,28,3,0.34388897846339417,428
TX-000120,2022-08-10,8733.658342032766,Securities,LCTR,Nova Scotia,2022,8,10,2,0.20081151033169142,810
TX-000121,2022-08-17,4730.860983995588,Money Services,STR,British Columbia,2022,8,17,2,-0.146824746532777,817
TX-000122,2022-09-09,38267.45551687496,Money Services,LCTR,Ontario,2022,9,9,4,2.765772407050958,909
TX-000123,2022-11-04,3731.941818142175,Securities,CDR,Manitoba,2022,11,4,4,-0.2335792056437776,1104
TX-000124,2022-04-16,12105.829465667264,Real Estate,STR,Quebec,2022,4,16,5,0.4936789333035083,416
TX-000125,2022-11-26,7967.73602428668,Banking,STR,Ontario,2022,11,26,5,0.1342924378496479,1126
TX-000126,2022-07-24,983.9395232807058,Securities,LCTR,Ontario,2022,7,24,6,-0.4722386096034765,724
TX-000127,2022-05-31,563.3711246357409,Banking,STR,Ontario,2022,5,31,1,-0.5087642717299531,531
TX-000128,2022-12-26,6111.551397251802,Securities,ETR,Ontario,2022,12,26,0,-0.026914093002114753,1226
TX-000129,2022-06-09,785.8652073837269,Banking,STR,British Columbia,2022,6,9,3,-0.4894410327091971,609
TX-000130,2022-04-02,1863.1367168967183,Banking,LCTR,Ontario,2022,4,2,5,-0.395881803576131,402
TX-000131,2022-01-12,968.439093717195,Securities,LCTR,Ontario,2022,1,12,2,-0.47358479599046177,112
TX-000132,2022-03-14,394.92270180949697,Securities,LCTR,Ontario,2022,3,14,0,-0.5233937355644036,314
TX-000133,2022-04-17,17584.734214873875,Banking,STR,Quebec,2022,4,17,6,0.969512648669285,417
TX-000134,2022-04-23,4387.915994630618,Trust and Loan,LCTR,Quebec,2022,4,23,5,-0.17660894536909386,423
TX-000135,2022-01-14,4699.093520592101,Securities,LCTR,Ontario,2022,1,14,4,-0.1495836976062039,114
TX-000136,2022-01-14,660.3379466110893,Banking,LCTR,Quebec,2022,1,14,4,-0.5003428653942391,114
TX-000137,2022-12-29,3550.1401972848657,Banking,LCTR,Ontario,2022,12,29,3,-0.24936837239733006,1229
TX-000138,2022-01-15,453.10693412792926,Money Services,STR,Ontario,2022,1,15,5,-0.5183405322861765,115
TX-000139,2022-09-30,996.838993163618,Banking,STR,Quebec,2022,9,30,4,-0.4711183122152943,930
TX-000140,2022-07-31,2929.918142154429,Securities,LCTR,Ontario,2022,7,31,6,-0.3032336207185843,731
TX-000141,2022-08-16,3608.416182800252,Securities,ETR,Nova Scotia,2022,8,16,1,-0.24430720050738183,816
TX-000142,2022-03-24,2097.6151955982014,Banking,ETR,Ontario,2022,3,24,3,-0.3755177398077294,324
TX-000143,2022-11-11,45983.85814997167,Money Services,STR,British Columbia,2022,11,11,4,3.4359290719749764,1111
TX-000144,2022-07-17,1994.6658264912128,Securities,ETR,Alberta,2022,7,17,6,-0.3844587203575071,717
TX-000145,2022-12-16,791.3627248165378,Real Estate,STR,Ontario,2022,12,16,4,-0.48896358251338534,1216
TX-000146,2022-02-09,6121.329532092492,Trust and Loan,ETR,Ontario,2022,2,9,2,-0.0260648783426946,209
TX-000147,2022-03-16,12311.064420696694,Casino,STR,British Columbia,2022,3,16,2,0.5115032459434977,316
TX-000148,2022-03-03,18868.15634281401,Securities,LCTR,Manitoba,2022,3,3,3,1.0809757142772132,303
TX-000149,2022-10-27,961.5027528097152,Trust and Loan,ETR,British Columbia,2022,10,27,3,-0.4741872055989748,1027
TX-000150,2022-01-20,1174.4522811042834,Banking,LCTR,Manitoba,2022,1,20,3,-0.4556928951716093,120
TX-000151,2022-10-20,3260.068912423475,Real Estate,LCTR,Ontario,2022,10,20,3,-0.2745605784156054,1020
TX-000152,2022-06-27,2741.138102037186,Securities,LCTR,British Columbia,2022,6,27,0,-0.3196288515151949,627
TX-000153,2022-06-17,9426.018717384792,Banking,LCTR,Prince Edward Island,2022,6,17,4,0.2609418511308274,617
TX-000154,2022-02-07,2365.226497007549,Banking,CDR,Quebec,2022,2,7,0,-0.35227614579353883,207
TX-000155,2022-08-24,2337.395097041708,Real Estate,CDR,British Columbia,2022,8,24,2,-0.3546932563394914,824
TX-000156,2022-02-04,18403.088549184744,Money Services,STR,Prince Edward Island,2022,2,4,4,1.0405853541104986,204
TX-000157,2022-09-24,8859.280697117063,Banking,STR,British Columbia,2022,9,24,5,0.21172160179867958,924
TX-000158,2022-01-05,1135.0604773072814,Money Services,CDR,New Brunswick,2022,1,5,2,-0.4591140074584038,105
TX-000159,2022-02-11,2205.787113967798,Casino,LCTR,Newfoundland and Labrador,2022,2,11,4,-0.3661231895879063,211
TX-000160,2022-06-28,4790.122917585411,Securities,LCTR,Ontario,2022,6,28,1,-0.14167794670131634,628
TX-000161,2022-05-25,15076.246232547446,Securities,LCTR,Quebec,2022,5,25,2,0.751654662225255,525
TX-000162,2022-02-08,509.8292606384924,Real Estate,LCTR,New Brunswick,2022,2,8,1,-0.5134142930826896,208
TX-000163,2022-01-15,13246.318994457755,Securities,ETR,Ontario,2022,1,15,5,0.5927285416944423,115
TX-000164,2022-06-06,680.0938510462129,Banking,STR,Ontario,2022,6,6,0,-0.4986270981308755,606
TX-000165,2022-09-11,958.5644140015016,Money Services,LCTR,Prince Edward Island,2022,9,11,6,-0.4744423954108287,911
TX-000166,2022-04-28,9911.71552616084,Banking,ETR,British Columbia,2022,4,28,3,0.3031238067661531,428
TX-000167,2022-07-03,3219.312720875784,Securities,LCTR,Nova Scotia,2022,7,3,6,-0.2781001854969487,703
TX-000168,2022-06-22,6640.235064917386,Money Services,LCTR,Ontario,2022,6,22,2,0.019001199442958142,622
TX-000169,2022-10-26,4413.019445806554,Casino,CDR,New Brunswick,2022,10,26,2,-0.17442875261372995,1026
TX-000170,2022-05-14,2274.001875697473,Securities,CDR,British Columbia,2022,5,14,5,-0.3601988516038735,514
TX-000171,2022-05-21,617.4979218595311,Banking,STR,Ontario,2022,5,21,5,-0.5040634499046466,521
TX-000172,2022-06-20,19329.10910542988,Securities,LCTR,Quebec,2022,6,20,0,1.1210086908817782,620
TX-000173,2022-11-24,5242.3773085983,Casino,LCTR,Alberta,2022,11,24,3,-0.10240040912461144,1124
TX-000174,2022-02-20,7047.118977882441,Real Estate,CDR,Ontario,2022,2,20,6,0.05433838687202663,220
TX-000175,2022-10-29,1136.3094938553877,Banking,STR,Quebec,2022,10,29,5,-0.4590055324598697,1029
TX-000176,2022-01-01,12609.149409597025,Securities,LCTR,Newfoundland and Labrador,2022,1,1,5,0.5373914287566322,101
TX-000177,2022-11-05,1773.9686447997506,Casino,STR,New Brunswick,2022,11,5,5,-0.4036259015263733,1105
TX-000178,2022-03-04,2387.697750046365,Real Estate,CDR,Ontario,2022,3,4,4,-0.3503245550446884,304
TX-000179,2022-12-13,2722.043561912022,Banking,LCTR,British Columbia,2022,12,13,1,-0.32128718039420545,1213
TX-000180,2022-06-01,4116.387722693527,Banking,STR,New Brunswick,2022,6,1,2,-0.2001907217234618,601
TX-000181,2022-10-12,4156.105944253459,Money Services,STR,Ontario,2022,10,12,2,-0.19674126059980931,1012
TX-000182,2022-12-03,26634.27955383812,Banking,LCTR,Alberta,2022,12,3,5,1.7554505282489508,1203
TX-000183,2022-07-08,849.8192920067349,Banking,LCTR,Newfoundland and Labrador,2022,7,8,4,-0.48388672740695765,708
TX-000184,2022-07-30,1876.019582861652,Securities,LCTR,Newfoundland and Labrador,2022,7,30,5,-0.3947629482104593,730
TX-000185,2022-05-24,3948.929046561258,Banking,ETR,Ontario,2022,5,24,1,-0.21473422771264528,524
TX-000186,2022-07-13,3577.370396855564,Securities,LCTR,Prince Edward Island,2022,7,13,2,-0.24700347510033777,713
TX-000187,2022-05-12,836.3597964405311,Real Estate,CDR,Newfoundland and Labrador,2022,5,12,3,-0.4850556620892303,512
TX-000188,2022-06-11,2339.1967113934297,Banking,STR,Ontario,2022,6,11,5,-0.35453678914579545,611
TX-000189,2022-12-15,2332.944231308882,Securities,STR,British Columbia,2022,12,15,3,-0.3550798065854236,1215
TX-000190,2022-09-12,79.94741144338403,Banking,ETR,British Columbia,2022,9,12,0,-0.5507488128150211,912
TX-000191,2022-04-07,3846.160650001973,Money Services,ETR,Saskatchewan,2022,4,7,3,-0.22365949109928643,407
TX-000192,2022-10-15,11691.481545634471,Casino,LCTR,Ontario,2022,10,15,5,0.4576935093422986,1015
TX-000193,2022-08-11,1695.4993073390167,Banking,LCTR,Ontario,2022,8,11,3,-0.4104408322644261,811
TX-000194,2022-03-26,108.14270128178592,Banking,LCTR,Nova Scotia,2022,3,26,5,-0.5483000990421517,326
TX-000195,2022-01-02,16273.119506777562,Money Services,LCTR,Quebec,2022,1,2,6,0.8556011046198574,102
TX-000196,2022-07-14,4289.31697018023,Banking,LCTR,Nova Scotia,2022,7,14,3,-0.18517210576031312,714
TX-000197,2022-08-10,1975.074238971175,Real Estate,STR,Saskatchewan,2022,8,10,2,-0.3861602169715746,810
TX-000198,2022-12-30,622.4203234377356,Real Estate,LCTR,Quebec,2022,12,30,4,-0.5036359475590695,1230
TX-000199,2022-05-08,837.3084152002997,Securities,LCTR,Ontario,2022,5,8,6,-0.4849732761362729,508
TX-000200,2022-08-25,2287.9486123302504,Banking,LCTR,Nova Scotia,2022,8,25,3,-0.3589876008497582,825
TX-000201,2022-06-03,3476.4391393059336,Banking,STR,Alberta,2022,6,3,4,-0.2557691860361476,603
TX-000202,2022-05-26,3521.8419092639674,Casino,LCTR,Alberta,2022,5,26,3,-0.2518260313901105,526
TX-000203,2022-06-14,5243.307382900531,Casino,STR,Alberta,2022,6,14,1,-0.10231963372678021,614
TX-000204,2022-01-27,15120.73760776436,Real Estate,LCTR,Ontario,2022,1,27,3,0.7555186637621064,127
TX-000205,2022-11-05,801.8120714500121,Real Estate,LCTR,Newfoundland and Labrador,2022,11,5,5,-0.4880560742321963,1105
TX-000206,2022-05-02,2452.016935022892,Securities,CDR,British Columbia,2022,5,2,0,-0.34473854138728516,502
TX-000207,2022-06-30,4472.726982927986,Banking,LCTR,Manitoba,2022,6,30,3,-0.16924325286071,630
TX-000208,2022-06-13,6616.74110800097,Banking,LCTR,Ontario,2022,6,13,0,0.016960788572555504,613
TX-000209,2022-04-21,24294.58023911834,Banking,LCTR,Manitoba,2022,4,21,3,1.5522515553295744,421
TX-000210,2022-08-27,1293.7877035457343,Securities,STR,Ontario,2022,8,27,5,-0.4453288132913243,827
TX-000211,2022-12-31,695.2250425856499,Money Services,LCTR,New Brunswick,2022,12,31,5,-0.4973129794488225,1231
TX-000212,2022-10-23,6838.0980002256565,Securities,LCTR,Nova Scotia,2022,10,23,6,0.03618526449803076,1023
TX-000213,2022-02-08,320.926676834703,Banking,STR,Saskatchewan,2022,2,8,1,-0.5298201665935529,208
TX-000214,2022-04-12,4288.420369849597,Securities,STR,Quebec,2022,4,12,1,-0.185249973999688,412
TX-000215,2022-01-17,23207.685969780872,Securities,STR,Ontario,2022,1,17,0,1.4578566055974207,117
TX-000216,2022-08-04,7650.4496445593295,Money Services,ETR,Ontario,2022,8,4,3,0.10673664635272795,804
TX-000217,2022-07-17,38380.64887520338,Real Estate,LCTR,Ontario,2022,7,17,6,2.7756030609340976,717
TX-000218,2022-12-31,5579.40909139403,Banking,LCTR,Saskatchewan,2022,12,31,5,-0.07312976239046873,1231
TX-000219,2022-10-09,3988.92940550257,Real Estate,STR,Ontario,2022,10,9,6,-0.21126026342922435,1009
TX-000220,2022-05-17,893.4211148256121,Banking,LCTR,Prince Edward Island,2022,5,17,1,-0.480099982008321,517
TX-000221,2022-08-11,12085.236987449269,Casino,LCTR,Quebec,2022,8,11,3,0.4918905110060635,811
TX-000222,2022-09-30,5221.444351378328,Securities,LCTR,Ontario,2022,9,30,4,-0.10421840145401169,930
TX-000223,2022-05-11,6107.037251681258,Banking,ETR,Alberta,2022,5,11,2,-0.027306138996133014,511
TX-000224,2022-01-15,9190.096963848691,Securities,LCTR,Ontario,2022,1,15,5,0.24045244135655675,115
TX-000225,2022-06-10,13834.396215303324,Money Services,STR,Alberta,2022,6,10,4,0.6438020649122804,610
TX-000226,2022-06-19,53978.31076829133,Banking,STR,Newfoundland and Labrador,2022,6,19,6,4.1302339131463,619
TX-000227,2022-04-06,8990.409758849877,Trust and Loan,LCTR,Prince Edward Island,2022,4,6,2,0.22310994152949687,406
TX-000228,2022-11-14,2988.443683730362,Money Services,ETR,Saskatchewan,2022,11,14,0,-0.2981507753020979,1114
TX-000229,2022-09-23,392.2155760634882,Banking,LCTR,Ontario,2022,9,23,4,-0.5236288449084513,923
TX-000230,2022-06-26,479.4035156377108,Securities,STR,Manitoba,2022,6,26,6,-0.5160567181565312,626
TX-000231,2022-10-20,173.50717288123985,Banking,CDR,Nova Scotia,2022,10,20,3,-0.5426233039895286,1020
TX-000232,2022-11-01,2199.2441779078817,Banking,CDR,Prince Edward Island,2022,11,1,1,-0.36669143264328,1101
TX-000233,2022-07-17,40247.03550204508,Real Estate,LCTR,Quebec,2022,7,17,6,2.9376956184087812,717
TX-000234,2022-08-14,758.4344689431166,Trust and Loan,STR,Quebec,2022,8,14,6,-0.49182334647168996,814
TX-000235,2022-03-04,1105.348000346109,Casino,STR,Alberta,2022,3,4,4,-0.46169448639576843,304
TX-000236,2022-11-09,1047.6645473247358,Banking,ETR,Newfoundland and Labrador,2022,11,9,2,-0.4667041978294746,1109
TX-000237,2022-09-18,4880.416075918792,Banking,LCTR,Ontario,2022,9,18,6,-0.133836136892868,918
TX-000238,2022-08-29,794.0879436968306,Securities,ETR,Ontario,2022,8,29,0,-0.48872690181088135,829
TX-000239,2022-08-04,14865.790525933391,Securities,LCTR,Ontario,2022,8,4,3,0.7333769360405468,804
TX-000240,2022-03-30,4326.384435869155,Securities,STR,Quebec,2022,3,30,2,-0.18195285835132893,330
TX-000241,2022-11-19,1359.9528412604188,Securities,STR,Quebec,2022,11,19,5,-0.439582481725508,1119
TX-000242,2022-06-19,9411.391430615417,Money Services,LCTR,Alberta,2022,6,19,6,0.25967149573539905,619
TX-000243,2022-05-04,2050.5454496856837,Banking,ETR,Ontario,2022,5,4,2,-0.3796056685278116,504
