transaction_id,transaction_date,transaction_amount,province,sector,report_type,ml_pattern,pattern_id,is_suspicious,risk_score
TBML-36-3,2023-12-06,4972185.884255906,Ontario,Securities,STR,TBML,TBML-36,1,0.8076963671321917
TBML-37-1,2023-07-13,3570488.3133281185,Quebec,Securities,STR,TBML,TBML-37,1,0.9232346044051399
TBML-37-2,2023-07-15,1113022.3892519705,Quebec,Securities,STR,TBML,TBML-37,1,0.9326891179905379
TBML-37-3,2023-07-17,4693300.027194814,Quebec,Securities,STR,TBML,TBML-37,1,0.8686193457460396
TBML-37-4,2023-07-19,557611.1725090273,Quebec,Securities,STR,TBML,TBML-37,1,0.8186528821687641
TBML-38-1,2023-12-17,3204765.6142409057,Ontario,Securities,STR,TBML,TBML-38,1,0.880621617613448
TBML-38-2,2023-12-19,726624.6726978697,Ontario,Securities,STR,TBML,TBML-38,1,0.701850334874037
TBML-38-3,2023-12-21,4432691.268774509,Ontario,Securities,STR,TBML,TBML-38,1,0.7403038246899232
TBML-38-4,2023-12-23,1350568.365765078,Ontario,Securities,STR,TBML,TBML-38,1,0.750924184277324
TBML-38-5,2023-12-25,3519287.671152145,Ontario,Securities,STR,TBML,TBML-38,1,0.7080417311652095
TBML-39-1,2023-11-17,2159217.478747987,Ontario,Securities,STR,TBML,TBML-39,1,0.8832285747923763
TBML-39-2,2023-11-19,259316.728705492,Ontario,Securities,STR,TBML,TBML-39,1,0.7989394259305791
TBML-39-3,2023-11-21,2384036.021462923,Ontario,Securities,STR,TBML,TBML-39,1,0.8300796520609595
TBML-39-4,2023-11-23,369183.70478169207,Ontario,Securities,STR,TBML,TBML-39,1,0.7634190378987825
TBML-40-1,2023-11-27,3226753.3441064903,British Columbia,Securities,STR,TBML,TBML-40,1,0.7165951518198377
TBML-40-2,2023-11-29,789251.9783350978,British Columbia,Securities,STR,TBML,TBML-40,1,0.913774477655788
TBML-40-3,2023-12-01,2822909.939371423,British Columbia,Securities,STR,TBML,TBML-40,1,0.8439884497007375
TBML-40-4,2023-12-03,1013275.8347258045,British Columbia,Securities,STR,TBML,TBML-40,1,0.8203518033205742
TBML-41-1,2023-06-15,1177824.3872222453,British Columbia,Securities,STR,TBML,TBML-41,1,0.7110945018903185
TBML-41-2,2023-06-17,358734.0696799413,British Columbia,Securities,STR,TBML,TBML-41,1,0.9244988196279216
TBML-41-3,2023-06-19,1488485.2924994146,British Columbia,Securities,STR,TBML,TBML-41,1,0.8641758057332967
TBML-41-4,2023-06-21,296969.9049224803,British Columbia,Securities,STR,TBML,TBML-41,1,0.739009112301277
TBML-42-1,2023-03-10,4905569.203332997,Ontario,Securities,STR,TBML,TBML-42,1,0.8187972900105359
TBML-42-2,2023-03-12,774013.7264328063,Ontario,Securities,STR,TBML,TBML-42,1,0.8267566968611599
TBML-42-3,2023-03-14,4120339.617964394,Ontario,Securities,STR,TBML,TBML-42,1,0.8525688872223344
TBML-42-4,2023-03-16,684750.2921556366,Ontario,Securities,STR,TBML,TBML-42,1,0.8639049701112471
TBML-42-5,2023-03-18,3995608.775454927,Ontario,Securities,STR,TBML,TBML-42,1,0.8550512079852147
TBML-43-1,2023-08-17,2473626.7634351654,Quebec,Securities,STR,TBML,TBML-43,1,0.9044952124822538
TBML-43-2,2023-08-19,542880.4831662421,Quebec,Securities,STR,TBML,TBML-43,1,0.8290684056947728
TBML-43-3,2023-08-21,2208529.3526115566,Quebec,Securities,STR,TBML,TBML-43,1,0.9097287084713246
TBML-43-4,2023-08-23,580155.5943146155,Quebec,Securities,STR,TBML,TBML-43,1,0.8381339845973569
TBML-43-5,2023-08-25,3215918.438310962,Quebec,Securities,STR,TBML,TBML-43,1,0.9301293169618023
TBML-44-1,2023-11-25,2348002.075352411,Quebec,Securities,STR,TBML,TBML-44,1,0.7533786953322796
TBML-44-2,2023-11-27,773247.4611917594,Quebec,Securities,STR,TBML,TBML-44,1,0.9225172395786259
TBML-44-3,2023-11-29,2561187.545586767,Quebec,Securities,STR,TBML,TBML-44,1,0.7336402126682158
TBML-44-4,2023-12-01,355808.88442826003,Quebec,Securities,STR,TBML,TBML-44,1,0.8096167701412047
TBML-45-1,2023-03-05,4023700.6980365072,Ontario,Securities,STR,TBML,TBML-45,1,0.7475122820723391
TBML-45-2,2023-03-07,633638.5713856495,Ontario,Securities,STR,TBML,TBML-45,1,0.9148863471960696
TBML-45-3,2023-03-09,3123916.2853180883,Ontario,Securities,STR,TBML,TBML-45,1,0.714930822242986
TBML-46-1,2023-04-09,4545859.730423689,British Columbia,Securities,STR,TBML,TBML-46,1,0.7297152914772859
TBML-46-2,2023-04-11,976059.1791394128,British Columbia,Securities,STR,TBML,TBML-46,1,0.8637760912395472
TBML-46-3,2023-04-13,2986239.8929315074,British Columbia,Securities,STR,TBML,TBML-46,1,0.9434760963889027
TBML-46-4,2023-04-15,853237.6552673656,British Columbia,Securities,STR,TBML,TBML-46,1,0.9267194938492838
TBML-47-1,2023-09-20,2330701.067585154,Quebec,Securities,STR,TBML,TBML-47,1,0.7193296982144519
TBML-47-2,2023-09-22,567067.9313723502,Quebec,Securities,STR,TBML,TBML-47,1,0.9045961390898628
TBML-47-3,2023-09-24,1793201.3028088496,Quebec,Securities,STR,TBML,TBML-47,1,0.8455269207950555
TBML-47-4,2023-09-26,766755.0859110855,Quebec,Securities,STR,TBML,TBML-47,1,0.7543873575035894
TBML-47-5,2023-09-28,2086283.501836565,Quebec,Securities,STR,TBML,TBML-47,1,0.8930691564254858
TBML-48-1,2023-02-02,2228665.791279549,Quebec,Securities,STR,TBML,TBML-48,1,0.9185252657541414
TBML-48-2,2023-02-04,584042.8478282789,Quebec,Securities,STR,TBML,TBML-48,1,0.8014903640848973
TBML-48-3,2023-02-06,2455750.825795695,Quebec,Securities,STR,TBML,TBML-48,1,0.9384913083313184
TBML-48-4,2023-02-08,368414.4565372624,Quebec,Securities,STR,TBML,TBML-48,1,0.7519288804311728
TBML-49-1,2023-01-09,1370383.5399249585,Ontario,Securities,STR,TBML,TBML-49,1,0.8868312571590489
TBML-49-2,2023-01-11,214317.83171667127,Ontario,Securities,STR,TBML,TBML-49,1,0.7644436732957205
TBML-49-3,2023-01-13,1204739.4580819951,Ontario,Securities,STR,TBML,TBML-49,1,0.9391194553264037
TBML-50-1,2023-01-04,2260826.1446253043,Nova Scotia,Securities,STR,TBML,TBML-50,1,0.7475566741041032
TBML-50-2,2023-01-06,566879.3947182093,Nova Scotia,Securities,STR,TBML,TBML-50,1,0.7705757800028499
TBML-50-3,2023-01-08,1319401.2107796683,Nova Scotia,Securities,STR,TBML,TBML-50,1,0.8727354735042145
CASINO-1-1,2023-07-22,8833.82455351921,Nova Scotia,Casino,LCTR,Casino-Investment,CASINO-1,1,0.7041590592694826
CASINO-1-2,2023-07-23,5786.6464243486225,Nova Scotia,Securities,ETR,Casino-Investment,CASINO-1,1,0.7517366655375458
CASINO-1-3,2023-07-24,5285.833034195528,Nova Scotia,Securities,ETR,Casino-Investment,CASINO-1,1,0.8395314533938191
CASINO-1-4,2023-07-25,7659.991220053561,Nova Scotia,Securities,ETR,Casino-Investment,CASINO-1,1,0.7886175517539146
CASINO-1-5,2023-07-26,5302.83406338727,Nova Scotia,Securities,STR,Casino-Investment,CASINO-1,1,0.7999925443440054
CASINO-1-6,2023-07-27,8190.286981171338,Nova Scotia,Securities,STR,Casino-Investment,CASINO-1,1,0.6675931562026116
CASINO-1-7,2023-07-28,8561.224706540812,Nova Scotia,Securities,ETR,Casino-Investment,CASINO-1,1,0.7179011814543688
CASINO-2-1,2023-07-28,9370.524003870432,New Brunswick,Casino,LCTR,Casino-Investment,CASINO-2,1,0.7299902669750997
CASINO-2-2,2023-07-29,8845.401573224151,New Brunswick,Securities,ETR,Casino-Investment,CASINO-2,1,0.7663031668643757
CASINO-2-3,2023-07-30,9416.738325054215,New Brunswick,Securities,ETR,Casino-Investment,CASINO-2,1,0.6810068722795604
CASINO-2-4,2023-07-31,8059.442181910681,New Brunswick,Securities,ETR,Casino-Investment,CASINO-2,1,0.7789940970121383
CASINO-2-5,2023-08-01,9822.193277423812,New Brunswick,Securities,STR,Casino-Investment,CASINO-2,1,0.7681833848050857
CASINO-3-1,2023-03-18,8814.484620042944,Saskatchewan,Casino,LCTR,Casino-Investment,CASINO-3,1,0.7172895173985983
CASINO-3-2,2023-03-19,5000.986850858121,Saskatchewan,Securities,STR,Casino-Investment,CASINO-3,1,0.805541322030559
CASINO-3-3,2023-03-20,8199.001826438966,Saskatchewan,Securities,ETR,Casino-Investment,CASINO-3,1,0.7256410267383009
CASINO-3-4,2023-03-21,9529.202287102373,Saskatchewan,Securities,ETR,Casino-Investment,CASINO-3,1,0.770682107305205
CASINO-3-5,2023-03-22,9474.320216309468,Saskatchewan,Securities,ETR,Casino-Investment,CASINO-3,1,0.7695246497113959
CASINO-3-6,2023-03-23,6694.0069029334645,Saskatchewan,Securities,ETR,Casino-Investment,CASINO-3,1,0.7871213724828305
CASINO-4-1,2023-07-12,9535.400762636018,Saskatchewan,Casino,LCTR,Casino-Investment,CASINO-4,1,0.7604307639094073
CASINO-4-2,2023-07-13,5008.354654361099,Saskatchewan,Securities,ETR,Casino-Investment,CASINO-4,1,0.7997762559331869
CASINO-4-3,2023-07-14,6220.01800453442,Saskatchewan,Securities,ETR,Casino-Investment,CASINO-4,1,0.8431453246823577
CASINO-4-4,2023-07-15,6460.766211631107,Saskatchewan,Securities,ETR,Casino-Investment,CASINO-4,1,0.692170958095602
CASINO-4-5,2023-07-16,7738.124088334582,Saskatchewan,Securities,STR,Casino-Investment,CASINO-4,1,0.7717380258400709
CASINO-5-1,2023-07-30,9187.200365435796,Saskatchewan,Casino,LCTR,Casino-Investment,CASINO-5,1,0.7693850271459308
CASINO-5-2,2023-07-31,5781.1884137526795,Saskatchewan,Securities,ETR,Casino-Investment,CASINO-5,1,0.7360328905028999
CASINO-5-3,2023-08-01,5091.101087252863,Saskatchewan,Securities,ETR,Casino-Investment,CASINO-5,1,0.8478533490436835
CASINO-5-4,2023-08-02,6713.7239951355195,Saskatchewan,Securities,STR,Casino-Investment,CASINO-5,1,0.6692411483325189
CASINO-6-1,2023-05-11,8091.150193546694,British Columbia,Casino,LCTR,Casino-Investment,CASINO-6,1,0.8433115386855299
CASINO-6-2,2023-05-12,8577.46322377425,British Columbia,Securities,STR,Casino-Investment,CASINO-6,1,0.6681099378967504
CASINO-6-3,2023-05-13,9553.817569989937,British Columbia,Securities,ETR,Casino-Investment,CASINO-6,1,0.8204568136114863
CASINO-6-4,2023-05-14,5061.745395457477,British Columbia,Securities,ETR,Casino-Investment,CASINO-6,1,0.8492094244252931
CASINO-6-5,2023-05-15,7096.406409207456,British Columbia,Securities,STR,Casino-Investment,CASINO-6,1,0.715599669674208
