Year,Month,Sector,Report_Type,Province,Count,Amount,Date,Postal_Code_Prefix
2017,9,Casinos,Electronic Funds Transfer Report,Northwest Territories,18,9848.23,2017-09-01,P8R
2018,5,Accountants,Casino Disbursement Report,Ontario,10,5463.1,2018-05-01,A9S
2016,10,Casinos,Electronic Funds Transfer Report,New Brunswick,12,9416.49,2016-10-01,H7S
2024,7,Life Insurance,Large Cash Transaction Report,Nunavut,6,14533.81,2024-07-01,C2X
2019,4,Banking,Large Cash Transaction Report,Manitoba,15,14671.65,2019-04-01,T8A
2021,1,Banking,Suspicious Transaction Report,Yukon,19,5645.03,2021-01-01,B6R
2023,2,Casinos,Casino Disbursement Report,Yukon,10,108543.3,2023-02-01,C6A
2015,12,Banking,Large Cash Transaction Report,New Brunswick,6,4563.61,2015-12-01,K4K
2024,10,Banking,Suspicious Transaction Report,Northwest Territories,15,11084.93,2024-10-01,M3C
2020,5,Banking,Suspicious Transaction Report,Saskatchewan,7,15473.26,2020-05-01,V7K
2020,12,Money Services Businesses,Electronic Funds Transfer Report,Nova Scotia,11,29390.74,2020-12-01,A0E
2015,8,Money Services Businesses,Suspicious Transaction Report,Prince Edward Island,10,2087.05,2015-08-01,A1N
2016,8,Accountants,Suspicious Transaction Report,Prince Edward Island,6,4919.67,2016-08-01,B1E
2022,12,Real Estate,Large Cash Transaction Report,Ontario,12,48369.32,2022-12-01,L8E
2020,8,Securities Dealers,Electronic Funds Transfer Report,Saskatchewan,12,35493.93,2020-08-01,T7J
2015,9,Money Services Businesses,Large Cash Transaction Report,British Columbia,12,4375.66,2015-09-01,V5R
2024,2,Securities Dealers,Electronic Funds Transfer Report,British Columbia,8,9332.14,2024-02-01,S4T
2024,4,Banking,Electronic Funds Transfer Report,British Columbia,9,2580.64,2024-04-01,X3H
2020,12,Real Estate,Electronic Funds Transfer Report,Saskatchewan,10,26509.96,2020-12-01,L0N
2024,11,Securities Dealers,Large Cash Transaction Report,New Brunswick,7,13845.26,2024-11-01,P1H
2021,10,Securities Dealers,Large Cash Transaction Report,Nunavut,13,8664.83,2021-10-01,V0T
2016,6,Banking,Suspicious Transaction Report,British Columbia,12,14650.43,2016-06-01,P7N
2018,6,Money Services Businesses,Suspicious Transaction Report,British Columbia,13,15752.47,2018-06-01,B6Z
2021,12,Securities Dealers,Large Cash Transaction Report,Manitoba,10,4560.69,2021-12-01,R2S
2020,12,Banking,Suspicious Transaction Report,Saskatchewan,9,3561.28,2020-12-01,X7M
2022,5,Real Estate,Large Cash Transaction Report,Saskatchewan,9,15347.52,2022-05-01,M4A
2020,2,Banking,Suspicious Transaction Report,Nova Scotia,15,1748.89,2020-02-01,E5S
2016,8,Securities Dealers,Suspicious Transaction Report,Yukon,6,10705.64,2016-08-01,S7M
2015,1,Life Insurance,Electronic Funds Transfer Report,Nova Scotia,12,6606.1,2015-01-01,T6M
2019,1,Real Estate,Large Cash Transaction Report,Yukon,2,1732.59,2019-01-01,R6R
2024,12,Real Estate,Large Cash Transaction Report,Northwest Territories,15,4033.06,2024-12-01,M0E
2024,1,Real Estate,Large Cash Transaction Report,British Columbia,7,7593.02,2024-01-01,V5A
2023,9,Banking,Large Cash Transaction Report,Manitoba,10,59055.01,2023-09-01,B2Y
2016,5,Casinos,Suspicious Transaction Report,Ontario,10,3542.83,2016-05-01,M8R
2021,12,Banking,Large Cash Transaction Report,Ontario,10,23325.0,2021-12-01,M5N
2023,2,Banking,Large Cash Transaction Report,Quebec,12,6067.95,2023-02-01,R5R
2018,11,Banking,Suspicious Transaction Report,Nunavut,18,16716.71,2018-11-01,S8P
2018,1,Casinos,Suspicious Transaction Report,Nunavut,11,38987.96,2018-01-01,A8Z
2024,4,Securities Dealers,Large Cash Transaction Report,Quebec,8,1218.06,2024-04-01,G9T
2019,11,Banking,Suspicious Transaction Report,Nova Scotia,8,27202.09,2019-11-01,S8P
2020,2,Banking,Electronic Funds Transfer Report,Manitoba,7,8810.98,2020-02-01,K5N
2021,3,Banking,Electronic Funds Transfer Report,Yukon,11,9725.41,2021-03-01,S1X
2023,2,Money Services Businesses,Suspicious Transaction Report,British Columbia,12,9028.74,2023-02-01,G3S
2020,8,Banking,Large Cash Transaction Report,Nova Scotia,8,2782.28,2020-08-01,J3S
2017,3,Money Services Businesses,Casino Disbursement Report,Nunavut,8,15365.11,2017-03-01,L5E
2016,2,Life Insurance,Electronic Funds Transfer Report,British Columbia,10,8608.24,2016-02-01,V2G
2020,6,Money Services Businesses,Suspicious Transaction Report,British Columbia,11,7122.6,2020-06-01,N4Y
2023,7,Real Estate,Suspicious Transaction Report,Alberta,7,7512.39,2023-07-01,G3E
2017,9,Banking,Suspicious Transaction Report,Manitoba,11,3745.6,2017-09-01,M6B
2018,11,Banking,Large Cash Transaction Report,New Brunswick,10,14233.27,2018-11-01,P0P
2017,10,Life Insurance,Suspicious Transaction Report,Newfoundland and Labrador,5,25286.4,2017-10-01,P5X
2021,4,Real Estate,Large Cash Transaction Report,Yukon,11,16623.1,2021-04-01,E8K
2018,5,Securities Dealers,Electronic Funds Transfer Report,Manitoba,8,4298.35,2018-05-01,H0Y
2020,11,Real Estate,Electronic Funds Transfer Report,New Brunswick,8,4099.79,2020-11-01,E3H
2020,6,Securities Dealers,Suspicious Transaction Report,British Columbia,12,2459.78,2020-06-01,M6N
2023,3,Banking,Suspicious Transaction Report,Northwest Territories,9,12708.99,2023-03-01,E5R
2019,3,Securities Dealers,Electronic Funds Transfer Report,Nova Scotia,12,58571.28,2019-03-01,V6B
2021,3,Banking,Suspicious Transaction Report,British Columbia,13,1719.0,2021-03-01,R6P
2015,5,Securities Dealers,Electronic Funds Transfer Report,Nunavut,6,2371.98,2015-05-01,K0G
2022,11,Banking,Suspicious Transaction Report,Nunavut,14,12951.29,2022-11-01,X9Y
2016,6,Banking,Casino Disbursement Report,Prince Edward Island,12,7822.78,2016-06-01,R3J
2018,9,Real Estate,Large Cash Transaction Report,British Columbia,9,8775.55,2018-09-01,G8W
2024,9,Banking,Suspicious Transaction Report,Alberta,8,178.91,2024-09-01,S8X
2021,12,Banking,Large Cash Transaction Report,Quebec,7,9249.58,2021-12-01,G6G
2020,5,Notaries,Electronic Funds Transfer Report,Nova Scotia,15,765.97,2020-05-01,P6W
2018,8,Money Services Businesses,Suspicious Transaction Report,Saskatchewan,13,5799.84,2018-08-01,J7T
2022,7,Money Services Businesses,Suspicious Transaction Report,Northwest Territories,10,2434.37,2022-07-01,B1H
2021,4,Real Estate,Large Cash Transaction Report,British Columbia,11,14850.72,2021-04-01,R1X
2020,1,Securities Dealers,Electronic Funds Transfer Report,Ontario,7,1548.08,2020-01-01,H8M
2019,3,Banking,Suspicious Transaction Report,Nunavut,11,7262.7,2019-03-01,P0J
2019,11,Securities Dealers,Suspicious Transaction Report,Prince Edward Island,8,18874.23,2019-11-01,M3N
2021,10,Life Insurance,Suspicious Transaction Report,British Columbia,8,3330.23,2021-10-01,E6S
2020,5,Real Estate,Suspicious Transaction Report,Alberta,11,22713.36,2020-05-01,E7J
2018,10,Banking,Suspicious Transaction Report,Prince Edward Island,16,9435.62,2018-10-01,M3L
2021,3,Banking,Large Cash Transaction Report,Ontario,11,1672.22,2021-03-01,H7W
2019,11,Banking,Large Cash Transaction Report,New Brunswick,13,4643.46,2019-11-01,L7K
2021,4,Money Services Businesses,Electronic Funds Transfer Report,Quebec,7,3166.67,2021-04-01,B4V
2021,9,Banking,Large Cash Transaction Report,British Columbia,11,603.73,2021-09-01,K6V
2016,9,Real Estate,Suspicious Transaction Report,Yukon,7,2592.78,2016-09-01,R3Y
2018,11,Accountants,Electronic Funds Transfer Report,Manitoba,17,30262.82,2018-11-01,G1N
2024,9,Money Services Businesses,Large Cash Transaction Report,Newfoundland and Labrador,10,2301.27,2024-09-01,G2M
2018,9,Accountants,Electronic Funds Transfer Report,Saskatchewan,15,106.94,2018-09-01,S0C
2021,12,Banking,Large Cash Transaction Report,British Columbia,14,31995.73,2021-12-01,K6X
2022,1,Real Estate,Suspicious Transaction Report,British Columbia,11,12435.04,2022-01-01,B6P
2015,9,Money Services Businesses,Large Cash Transaction Report,New Brunswick,10,8904.53,2015-09-01,K1K
2021,12,Banking,Suspicious Transaction Report,Alberta,7,27476.75,2021-12-01,B8L
2020,12,Banking,Casino Disbursement Report,Manitoba,15,5768.44,2020-12-01,E8B
2024,11,Securities Dealers,Electronic Funds Transfer Report,Alberta,13,19497.51,2024-11-01,T0C
2015,12,Life Insurance,Electronic Funds Transfer Report,Northwest Territories,10,31282.66,2015-12-01,B3Z
2022,11,Real Estate,Large Cash Transaction Report,Newfoundland and Labrador,8,4176.48,2022-11-01,H4W
2019,2,Money Services Businesses,Suspicious Transaction Report,New Brunswick,10,6050.28,2019-02-01,B8H
2021,8,Life Insurance,Large Cash Transaction Report,Yukon,7,6984.78,2021-08-01,L4Y
2022,9,Banking,Large Cash Transaction Report,Nova Scotia,10,2229.43,2022-09-01,E4T
2021,12,Life Insurance,Suspicious Transaction Report,Alberta,12,4730.26,2021-12-01,G7K
2024,8,Money Services Businesses,Large Cash Transaction Report,Newfoundland and Labrador,13,815.81,2024-08-01,Y7N
2015,9,Banking,Electronic Funds Transfer Report,Northwest Territories,6,6140.87,2015-09-01,N4R
2020,5,Accountants,Suspicious Transaction Report,New Brunswick,12,14212.1,2020-05-01,X8T
2015,10,Securities Dealers,Suspicious Transaction Report,New Brunswick,17,12299.48,2015-10-01,P9W
2018,12,Life Insurance,Electronic Funds Transfer Report,Prince Edward Island,10,11619.89,2018-12-01,K0C
2018,7,Securities Dealers,Suspicious Transaction Report,Quebec,16,27632.84,2018-07-01,N4Y
2022,11,Casinos,Suspicious Transaction Report,Manitoba,10,5921.48,2022-11-01,M5L
2020,3,Banking,Large Cash Transaction Report,Saskatchewan,15,2133.83,2020-03-01,P6R
2021,4,Securities Dealers,Large Cash Transaction Report,Saskatchewan,10,191.1,2021-04-01,G8E
2024,4,Banking,Casino Disbursement Report,Newfoundland and Labrador,10,3422.57,2024-04-01,J9E
2021,10,Banking,Suspicious Transaction Report,Alberta,9,34047.98,2021-10-01,L5S
2021,4,Banking,Casino Disbursement Report,Nova Scotia,5,5591.73,2021-04-01,A6C
2024,11,Securities Dealers,Suspicious Transaction Report,Newfoundland and Labrador,12,22507.91,2024-11-01,J3R
2016,8,Real Estate,Large Cash Transaction Report,Manitoba,14,3249.65,2016-08-01,V4H
2020,2,Securities Dealers,Suspicious Transaction Report,Northwest Territories,10,9763.11,2020-02-01,V6M
2022,12,Money Services Businesses,Large Cash Transaction Report,Saskatchewan,12,13304.07,2022-12-01,H2W
2022,2,Casinos,Electronic Funds Transfer Report,Ontario,10,21416.05,2022-02-01,B7Z
2018,5,Life Insurance,Suspicious Transaction Report,Yukon,9,6102.71,2018-05-01,V7E
2021,6,Banking,Suspicious Transaction Report,Nova Scotia,13,10130.03,2021-06-01,K9J
2023,4,Banking,Large Cash Transaction Report,Manitoba,11,30708.76,2023-04-01,Y2W
2022,12,Banking,Large Cash Transaction Report,Alberta,7,66254.64,2022-12-01,X9V
2016,7,Banking,Suspicious Transaction Report,British Columbia,7,1241.86,2016-07-01,K8G
2022,10,Banking,Casino Disbursement Report,Ontario,10,8209.22,2022-10-01,X8C
2017,4,Life Insurance,Large Cash Transaction Report,Manitoba,5,810.45,2017-04-01,T8B
2018,8,Banking,Suspicious Transaction Report,British Columbia,12,45471.04,2018-08-01,V8S
2017,2,Securities Dealers,Casino Disbursement Report,New Brunswick,11,48171.39,2017-02-01,N1T
2022,10,Securities Dealers,Suspicious Transaction Report,Nunavut,15,6435.21,2022-10-01,M8E
2018,4,Money Services Businesses,Electronic Funds Transfer Report,Yukon,9,21695.4,2018-04-01,X9C
2015,11,Real Estate,Suspicious Transaction Report,Alberta,9,9759.29,2015-11-01,T6M
2023,7,Notaries,Suspicious Transaction Report,British Columbia,10,7762.2,2023-07-01,P0P
2023,5,Money Services Businesses,Large Cash Transaction Report,Nunavut,12,6793.0,2023-05-01,J9E
2015,10,Securities Dealers,Large Cash Transaction Report,Ontario,13,3945.08,2015-10-01,S4K
2022,11,Money Services Businesses,Large Cash Transaction Report,Nunavut,16,22941.52,2022-11-01,S5J
2016,2,Money Services Businesses,Suspicious Transaction Report,Prince Edward Island,12,3832.76,2016-02-01,S6W
2021,3,Securities Dealers,Suspicious Transaction Report,Quebec,12,35837.9,2021-03-01,S4E
2015,4,Life Insurance,Large Cash Transaction Report,Prince Edward Island,11,2656.58,2015-04-01,M0R
2020,5,Securities Dealers,Electronic Funds Transfer Report,Quebec,11,10516.3,2020-05-01,P4T
2024,7,Notaries,Large Cash Transaction Report,Ontario,9,1112.8,2024-07-01,A9A
2024,3,Banking,Suspicious Transaction Report,New Brunswick,6,5479.6,2024-03-01,N8N
2022,9,Securities Dealers,Large Cash Transaction Report,Manitoba,13,24650.02,2022-09-01,H5E
2020,10,Securities Dealers,Large Cash Transaction Report,Quebec,9,4867.23,2020-10-01,N5X
2023,3,Life Insurance,Suspicious Transaction Report,New Brunswick,11,15441.02,2023-03-01,J8M
2015,5,Banking,Large Cash Transaction Report,Prince Edward Island,11,17799.25,2015-05-01,C5R
2023,5,Securities Dealers,Large Cash Transaction Report,Manitoba,5,3307.01,2023-05-01,V7S
2017,7,Money Services Businesses,Suspicious Transaction Report,Prince Edward Island,10,14428.93,2017-07-01,V3K
2016,6,Money Services Businesses,Large Cash Transaction Report,Manitoba,12,4634.75,2016-06-01,J2Y
2022,11,Securities Dealers,Large Cash Transaction Report,Quebec,10,62596.32,2022-11-01,L9R
2024,3,Securities Dealers,Casino Disbursement Report,New Brunswick,5,54826.33,2024-03-01,C6Y
2019,12,Life Insurance,Large Cash Transaction Report,Yukon,9,380.35,2019-12-01,X0Y
2015,1,Money Services Businesses,Large Cash Transaction Report,Yukon,6,13252.31,2015-01-01,K5J
2015,6,Real Estate,Suspicious Transaction Report,British Columbia,10,7602.26,2015-06-01,V8B
2016,11,Life Insurance,Large Cash Transaction Report,Alberta,11,7978.86,2016-11-01,R1K
2021,6,Banking,Suspicious Transaction Report,Manitoba,7,40181.64,2021-06-01,B5K
2016,4,Money Services Businesses,Suspicious Transaction Report,Prince Edward Island,11,2527.18,2016-04-01,X3Y
2023,2,Banking,Suspicious Transaction Report,Newfoundland and Labrador,9,4497.97,2023-02-01,A3C
2020,9,Securities Dealers,Large Cash Transaction Report,Yukon,8,1032.18,2020-09-01,G3C
2018,6,Securities Dealers,Large Cash Transaction Report,Quebec,16,30655.39,2018-06-01,B1H
2018,1,Real Estate,Electronic Funds Transfer Report,New Brunswick,7,9010.49,2018-01-01,J3W
2017,8,Banking,Large Cash Transaction Report,Manitoba,14,2756.54,2017-08-01,B2A
2023,10,Money Services Businesses,Large Cash Transaction Report,Northwest Territories,8,8676.83,2023-10-01,Y1X
2016,7,Banking,Suspicious Transaction Report,Newfoundland and Labrador,15,4815.69,2016-07-01,G8W
2023,11,Casinos,Electronic Funds Transfer Report,Newfoundland and Labrador,11,572.73,2023-11-01,R1H
2017,11,Securities Dealers,Suspicious Transaction Report,Prince Edward Island,12,14779.52,2017-11-01,P8N
2018,6,Life Insurance,Large Cash Transaction Report,Nunavut,7,16288.27,2018-06-01,L8N
2023,12,Money Services Businesses,Suspicious Transaction Report,British Columbia,6,162214.65,2023-12-01,B6Z
2017,11,Banking,Electronic Funds Transfer Report,Nunavut,15,3689.09,2017-11-01,X0B
2020,11,Casinos,Large Cash Transaction Report,Newfoundland and Labrador,13,16454.6,2020-11-01,N4G
2019,1,Money Services Businesses,Electronic Funds Transfer Report,Nova Scotia,11,1325.9,2019-01-01,P1L
2020,10,Securities Dealers,Suspicious Transaction Report,Newfoundland and Labrador,11,2248.64,2020-10-01,K4T
2019,5,Securities Dealers,Large Cash Transaction Report,Nova Scotia,10,12460.01,2019-05-01,J2L
2017,4,Real Estate,Large Cash Transaction Report,New Brunswick,11,127.74,2017-04-01,H0J
2016,7,Banking,Suspicious Transaction Report,Alberta,12,4997.66,2016-07-01,K8T
2024,2,Securities Dealers,Suspicious Transaction Report,Manitoba,9,5239.31,2024-02-01,N2K
2023,1,Real Estate,Suspicious Transaction Report,Nunavut,13,13586.1,2023-01-01,L2Y
2018,7,Banking,Large Cash Transaction Report,Saskatchewan,11,1667.17,2018-07-01,R1P
2024,8,Money Services Businesses,Suspicious Transaction Report,Alberta,10,1002.18,2024-08-01,S5Y
2020,5,Securities Dealers,Suspicious Transaction Report,Yukon,12,10452.32,2020-05-01,V4N
2023,8,Banking,Suspicious Transaction Report,New Brunswick,12,8516.71,2023-08-01,M1S
2019,4,Money Services Businesses,Large Cash Transaction Report,Yukon,12,15615.67,2019-04-01,N8N
2021,8,Real Estate,Suspicious Transaction Report,Manitoba,14,1385.97,2021-08-01,Y6E
2019,11,Securities Dealers,Electronic Funds Transfer Report,British Columbia,6,125.99,2019-11-01,Y1Y
2023,3,Banking,Suspicious Transaction Report,Ontario,12,29683.77,2023-03-01,Y2L
2016,7,Banking,Suspicious Transaction Report,Ontario,7,10080.23,2016-07-01,X9H
2017,6,Notaries,Large Cash Transaction Report,Yukon,10,5745.01,2017-06-01,P1R
2019,1,Banking,Casino Disbursement Report,Yukon,8,8839.45,2019-01-01,B2B
2016,5,Banking,Electronic Funds Transfer Report,New Brunswick,9,2647.05,2016-05-01,A6S
2020,11,Notaries,Suspicious Transaction Report,British Columbia,8,8519.69,2020-11-01,V5X
2024,12,Real Estate,Suspicious Transaction Report,Northwest Territories,12,34551.69,2024-12-01,G3R
2017,4,Life Insurance,Large Cash Transaction Report,Prince Edward Island,4,1959.99,2017-04-01,H4T
2019,6,Banking,Suspicious Transaction Report,Alberta,13,6145.24,2019-06-01,N3T
2019,9,Banking,Large Cash Transaction Report,Nova Scotia,4,4183.1,2019-09-01,L7R
2024,4,Banking,Large Cash Transaction Report,Ontario,8,24357.83,2024-04-01,L0L
2022,2,Money Services Businesses,Large Cash Transaction Report,Saskatchewan,7,3095.24,2022-02-01,L4H
2023,12,Securities Dealers,Casino Disbursement Report,Ontario,11,444.11,2023-12-01,N2J
2018,8,Banking,Suspicious Transaction Report,British Columbia,8,2309.52,2018-08-01,X1B
2024,1,Banking,Large Cash Transaction Report,Alberta,14,4242.29,2024-01-01,G7L
2015,6,Real Estate,Large Cash Transaction Report,Northwest Territories,9,11387.99,2015-06-01,S4E
2019,4,Life Insurance,Large Cash Transaction Report,Nova Scotia,10,18151.64,2019-04-01,K3S
2018,6,Money Services Businesses,Large Cash Transaction Report,Quebec,12,16724.24,2018-06-01,J1B
2019,3,Banking,Casino Disbursement Report,New Brunswick,8,26988.07,2019-03-01,M5G
2023,9,Real Estate,Electronic Funds Transfer Report,Saskatchewan,8,1877.97,2023-09-01,J8R
2022,3,Securities Dealers,Large Cash Transaction Report,Prince Edward Island,4,5164.55,2022-03-01,G8A
2022,3,Securities Dealers,Large Cash Transaction Report,Quebec,10,1658.99,2022-03-01,B5N
2022,5,Casinos,Large Cash Transaction Report,British Columbia,14,16412.9,2022-05-01,J1R
2015,7,Banking,Electronic Funds Transfer Report,Alberta,12,12861.45,2015-07-01,N7Y
2021,6,Money Services Businesses,Suspicious Transaction Report,Saskatchewan,14,34114.11,2021-06-01,B1E
2018,7,Life Insurance,Large Cash Transaction Report,Yukon,8,10592.43,2018-07-01,J6E
2020,9,Banking,Large Cash Transaction Report,Ontario,9,34195.71,2020-09-01,N4G
2018,3,Securities Dealers,Large Cash Transaction Report,Manitoba,12,16312.46,2018-03-01,G0H
2019,5,Accountants,Suspicious Transaction Report,New Brunswick,5,34626.5,2019-05-01,R4Z
2019,5,Banking,Large Cash Transaction Report,Nunavut,11,34088.04,2019-05-01,K7A
2015,3,Securities Dealers,Large Cash Transaction Report,Nova Scotia,12,650.26,2015-03-01,P6J
2020,11,Life Insurance,Suspicious Transaction Report,Northwest Territories,9,10706.92,2020-11-01,E4Z
2024,10,Securities Dealers,Large Cash Transaction Report,British Columbia,15,4558.63,2024-10-01,P7H
2022,9,Securities Dealers,Large Cash Transaction Report,Northwest Territories,13,400.16,2022-09-01,E6A
2019,9,Banking,Casino Disbursement Report,Quebec,12,4857.15,2019-09-01,E0M
2024,6,Banking,Suspicious Transaction Report,Quebec,8,575.94,2024-06-01,N9Z
2020,5,Real Estate,Suspicious Transaction Report,Prince Edward Island,9,517.97,2020-05-01,K2M
2019,4,Real Estate,Suspicious Transaction Report,Manitoba,11,5480.72,2019-04-01,E7S
2015,4,Banking,Casino Disbursement Report,New Brunswick,9,4823.34,2015-04-01,L8W
2019,5,Securities Dealers,Electronic Funds Transfer Report,Saskatchewan,18,33807.91,2019-05-01,C5A
2016,2,Securities Dealers,Large Cash Transaction Report,Saskatchewan,11,73286.23,2016-02-01,T3E
2018,8,Banking,Suspicious Transaction Report,Nova Scotia,9,59042.03,2018-08-01,V2B
2016,12,Money Services Businesses,Large Cash Transaction Report,Ontario,11,18833.35,2016-12-01,V2C
2022,7,Banking,Electronic Funds Transfer Report,British Columbia,11,5893.72,2022-07-01,E7B
2021,7,Real Estate,Electronic Funds Transfer Report,Northwest Territories,9,5888.66,2021-07-01,J0Y
2023,1,Banking,Suspicious Transaction Report,Manitoba,10,423.6,2023-01-01,X5M
2018,8,Real Estate,Casino Disbursement Report,Nova Scotia,10,2381.21,2018-08-01,E9E
2019,11,Securities Dealers,Suspicious Transaction Report,Saskatchewan,10,11650.84,2019-11-01,Y4G
2023,1,Life Insurance,Suspicious Transaction Report,Ontario,4,6011.0,2023-01-01,J1H
2023,9,Real Estate,Electronic Funds Transfer Report,Newfoundland and Labrador,7,7823.93,2023-09-01,V6M
2016,6,Banking,Large Cash Transaction Report,Yukon,9,710.28,2016-06-01,R6G
2015,8,Money Services Businesses,Electronic Funds Transfer Report,British Columbia,7,363.44,2015-08-01,N2G
2017,1,Money Services Businesses,Casino Disbursement Report,Nunavut,18,3571.25,2017-01-01,B9J
2024,6,Securities Dealers,Large Cash Transaction Report,Nova Scotia,9,35025.86,2024-06-01,M4T
2015,1,Securities Dealers,Suspicious Transaction Report,Nunavut,14,8511.65,2015-01-01,E1B
2020,3,Banking,Large Cash Transaction Report,Ontario,9,7017.18,2020-03-01,H2H
2022,2,Banking,Large Cash Transaction Report,Ontario,10,925.54,2022-02-01,K5Y
2018,2,Securities Dealers,Electronic Funds Transfer Report,Northwest Territories,10,888.34,2018-02-01,X1N
2018,4,Banking,Large Cash Transaction Report,Ontario,13,4346.95,2018-04-01,E8R
