transaction_id,transaction_date,transaction_amount,sector,report_type,province
TX-000044,2022-04-26,357.8199326115339,Banking,ETR,Ontario
TX-000045,2022-08-15,2047.4291020864866,Real Estate,CDR,Manitoba
TX-000046,2022-12-04,3046.2068726323887,Securities,CDR,British Columbia
TX-000047,2022-03-09,1144.14888636869,Banking,ETR,Ontario
TX-000048,2022-05-15,6661.761626349369,Banking,LCTR,Ontario
TX-000049,2022-01-22,1183.7873826342316,Trust and Loan,LCTR,Quebec
TX-000050,2022-10-10,2560.140835394087,Securities,LCTR,Ontario
TX-000051,2022-11-13,3186.573977768752,Securities,ETR,Alberta
TX-000052,2022-06-21,20908.102053192848,Trust and Loan,CDR,Newfoundland and Labrador
TX-000053,2022-08-21,23995.90566589883,Banking,LCTR,Ontario
TX-000054,2022-07-07,11531.993522467023,Banking,LCTR,Quebec
TX-000055,2022-09-13,3042.821182998734,Securities,LCTR,Quebec
TX-000056,2022-11-19,4016.427401650227,Banking,LCTR,Saskatchewan
TX-000057,2022-05-07,3393.683603955824,Real Estate,ETR,Ontario
TX-000058,2022-10-26,6382.858509953717,Securities,STR,Nova Scotia
TX-000059,2022-11-02,12415.778583614037,Real Estate,LCTR,Ontario
TX-000060,2022-06-22,902.4734746645757,Banking,LCTR,Alberta
TX-000061,2022-05-23,2072.85819300248,Banking,LCTR,Alberta
TX-000062,2022-06-02,697.095482183252,Trust and Loan,ETR,Quebec
TX-000063,2022-11-01,153.41896597626192,Casino,LCTR,British Columbia
TX-000064,2022-09-21,8001.305250293262,Banking,LCTR,Alberta
TX-000065,2022-12-31,903.0476878250427,Securities,LCTR,British Columbia
TX-000066,2022-05-24,34345.35181891093,Securities,LCTR,Prince Edward Island
TX-000067,2022-11-15,2552.38911597137,Money Services,STR,British Columbia
TX-000068,2022-11-14,10608.263782400967,Money Services,LCTR,British Columbia
TX-000069,2022-01-01,2631.5315741739755,Banking,STR,British Columbia
TX-000070,2022-08-25,1403.838366542547,Trust and Loan,ETR,Ontario
TX-000071,2022-10-05,6884.172961710031,Banking,LCTR,British Columbia
TX-000072,2022-03-27,58.16079986499467,Banking,STR,Alberta
TX-000073,2022-08-26,37357.38337753437,Banking,STR,Prince Edward Island
TX-000074,2022-12-07,2925.0233352981845,Banking,LCTR,Newfoundland and Labrador
TX-000075,2022-01-10,22920.698066796984,Real Estate,STR,Alberta
TX-000076,2022-05-27,3228.3317480821383,Real Estate,LCTR,British Columbia
TX-000077,2022-10-07,21651.103810926103,Real Estate,ETR,Ontario
TX-000078,2022-12-06,4087.643578547704,Securities,LCTR,Ontario
TX-000079,2022-06-28,9884.25180175662,Money Services,ETR,Ontario
TX-000080,2022-02-12,910.6960532034369,Banking,STR,Alberta
TX-000081,2022-08-30,5833.612313621184,Banking,LCTR,Quebec
TX-000082,2022-03-31,1812.638017149808,Banking,LCTR,Ontario
TX-000083,2022-04-24,4867.011476378726,Real Estate,ETR,Quebec
TX-000084,2022-09-06,3738.326082922323,Securities,LCTR,Ontario
TX-000085,2022-04-09,2371.76468472265,Securities,ETR,New Brunswick
TX-000086,2022-07-09,3910.9724916809087,Banking,LCTR,Ontario
TX-000087,2022-12-21,444.96558908987186,Real Estate,LCTR,Quebec
TX-000088,2022-12-08,1517.9422963164814,Banking,STR,Saskatchewan
TX-000089,2022-03-17,1916.551136398148,Trust and Loan,LCTR,Ontario
TX-000090,2022-05-24,2687.166343959826,Banking,LCTR,Ontario
TX-000091,2022-02-22,8725.069845863698,Casino,STR,Ontario
TX-000092,2022-08-11,232.63524378561274,Money Services,LCTR,Ontario
TX-000093,2022-08-27,636.6773372574297,Casino,LCTR,British Columbia
TX-000094,2022-01-07,2487.138527591828,Banking,LCTR,Quebec
TX-000095,2022-07-13,345.2201649293007,Banking,CDR,Newfoundland and Labrador
TX-000096,2022-11-17,13380.26303080774,Banking,CDR,Ontario
TX-000097,2022-10-19,2078.0951382491053,Banking,ETR,Ontario
TX-000098,2022-04-01,1211.9261783391976,Banking,LCTR,Manitoba
TX-000099,2022-08-30,2878.082570281857,Banking,STR,British Columbia
TX-000100,2022-12-27,7252.3277699531645,Money Services,STR,Nova Scotia
TX-000101,2022-11-08,3507.0179094100063,Securities,ETR,Saskatchewan
TX-000102,2022-06-22,178.0423840772194,Real Estate,LCTR,Saskatchewan
TX-000103,2022-08-17,1237.4939988666479,Money Services,STR,British Columbia
TX-000104,2022-11-01,6095.594294542936,Securities,LCTR,Ontario
TX-000105,2022-05-24,7064.133179217522,Real Estate,CDR,Alberta
TX-000106,2022-12-24,2754.1307277008855,Money Services,STR,British Columbia
TX-000107,2022-03-31,2172.383574899912,Banking,STR,Newfoundland and Labrador
TX-000108,2022-08-16,45486.03254453912,Money Services,LCTR,New Brunswick
TX-000109,2022-07-31,4467.329747059263,Banking,STR,Alberta
TX-000110,2022-03-23,2405.8081470073776,Securities,CDR,Alberta
TX-000111,2022-10-13,12348.116509722495,Banking,STR,Newfoundland and Labrador
TX-000112,2022-03-06,2993.386011719481,Trust and Loan,LCTR,Ontario
TX-000113,2022-08-05,30612.200026997714,Casino,ETR,Ontario
TX-000114,2022-04-09,591.6392679883886,Banking,STR,Ontario
TX-000115,2022-07-16,252844.6917599533,Trust and Loan,LCTR,Prince Edward Island
TX-000116,2022-06-14,7612.278758053597,Securities,STR,British Columbia
TX-000117,2022-01-01,24283.857191464267,Money Services,STR,Ontario
TX-000118,2022-10-15,193.98448765822752,Banking,STR,Ontario
TX-000119,2022-04-28,10381.099022121289,Banking,ETR,Saskatchewan
TX-000120,2022-08-10,8733.658342032766,Securities,LCTR,Nova Scotia
TX-000121,2022-08-17,4730.860983995588,Money Services,STR,British Columbia
TX-000122,2022-09-09,38267.45551687496,Money Services,LCTR,Ontario
TX-000123,2022-11-04,3731.9418181421747,Securities,CDR,Manitoba
TX-000124,2022-04-16,12105.829465667264,Real Estate,STR,Quebec
TX-000125,2022-11-26,7967.73602428668,Banking,STR,Ontario
TX-000126,2022-07-24,983.9395232807058,Securities,LCTR,Ontario
TX-000127,2022-05-31,563.3711246357409,Banking,STR,Ontario
TX-000128,2022-12-26,6111.551397251802,Securities,ETR,Ontario
TX-000129,2022-06-09,785.8652073837269,Banking,STR,British Columbia
TX-000130,2022-04-02,1863.1367168967183,Banking,LCTR,Ontario
TX-000131,2022-01-12,968.439093717195,Securities,LCTR,Ontario
TX-000132,2022-03-14,394.92270180949697,Securities,LCTR,Ontario
TX-000133,2022-04-17,17584.734214873875,Banking,STR,Quebec
TX-000134,2022-04-23,4387.915994630618,Trust and Loan,LCTR,Quebec
TX-000135,2022-01-14,4699.093520592101,Securities,LCTR,Ontario
TX-000136,2022-01-14,660.3379466110893,Banking,LCTR,Quebec
TX-000137,2022-12-29,3550.1401972848657,Banking,LCTR,Ontario
TX-000138,2022-01-15,453.10693412792926,Money Services,STR,Ontario
TX-000139,2022-09-30,996.8389931636179,Banking,STR,Quebec
TX-000140,2022-07-31,2929.9181421544286,Securities,LCTR,Ontario
TX-000141,2022-08-16,3608.4161828002516,Securities,ETR,Nova Scotia
TX-000142,2022-03-24,2097.6151955982014,Banking,ETR,Ontario
TX-000143,2022-11-11,45983.85814997167,Money Services,STR,British Columbia
TX-000144,2022-07-17,1994.6658264912132,Securities,ETR,Alberta
TX-000145,2022-12-16,791.3627248165378,Real Estate,STR,Ontario
TX-000146,2022-02-09,6121.329532092492,Trust and Loan,ETR,Ontario
TX-000147,2022-03-16,12311.064420696694,Casino,STR,British Columbia
TX-000148,2022-03-03,18868.156342814014,Securities,LCTR,Manitoba
TX-000149,2022-10-27,961.5027528097153,Trust and Loan,ETR,British Columbia
TX-000150,2022-01-20,1174.4522811042834,Banking,LCTR,Manitoba
TX-000151,2022-10-20,3260.068912423475,Real Estate,LCTR,Ontario
TX-000152,2022-06-27,2741.138102037186,Securities,LCTR,British Columbia
TX-000153,2022-06-17,9426.018717384792,Banking,LCTR,Prince Edward Island
TX-000154,2022-02-07,2365.226497007549,Banking,CDR,Quebec
TX-000155,2022-08-24,2337.3950970417077,Real Estate,CDR,British Columbia
TX-000156,2022-02-04,18403.088549184744,Money Services,STR,Prince Edward Island
TX-000157,2022-09-24,8859.280697117063,Banking,STR,British Columbia
TX-000158,2022-01-05,1135.0604773072814,Money Services,CDR,New Brunswick
TX-000159,2022-02-11,2205.7871139677986,Casino,LCTR,Newfoundland and Labrador
TX-000160,2022-06-28,4790.122917585411,Securities,LCTR,Ontario
TX-000161,2022-05-25,15076.246232547446,Securities,LCTR,Quebec
TX-000162,2022-02-08,509.8292606384924,Real Estate,LCTR,New Brunswick
TX-000163,2022-01-15,13246.318994457757,Securities,ETR,Ontario
TX-000164,2022-06-06,680.0938510462129,Banking,STR,Ontario
TX-000165,2022-09-11,958.5644140015015,Money Services,LCTR,Prince Edward Island
TX-000166,2022-04-28,9911.71552616084,Banking,ETR,British Columbia
TX-000167,2022-07-03,3219.312720875784,Securities,LCTR,Nova Scotia
TX-000168,2022-06-22,6640.235064917386,Money Services,LCTR,Ontario
TX-000169,2022-10-26,4413.019445806554,Casino,CDR,New Brunswick
TX-000170,2022-05-14,2274.001875697473,Securities,CDR,British Columbia
TX-000171,2022-05-21,617.4979218595311,Banking,STR,Ontario
TX-000172,2022-06-20,19329.109105429878,Securities,LCTR,Quebec
TX-000173,2022-11-24,5242.3773085983,Casino,LCTR,Alberta
TX-000174,2022-02-20,7047.118977882441,Real Estate,CDR,Ontario
TX-000175,2022-10-29,1136.3094938553875,Banking,STR,Quebec
TX-000176,2022-01-01,12609.149409597023,Securities,LCTR,Newfoundland and Labrador
TX-000177,2022-11-05,1773.9686447997506,Casino,STR,New Brunswick
TX-000178,2022-03-04,2387.697750046365,Real Estate,CDR,Ontario
TX-000179,2022-12-13,2722.043561912022,Banking,LCTR,British Columbia
TX-000180,2022-06-01,4116.3877226935265,Banking,STR,New Brunswick
TX-000181,2022-10-12,4156.105944253459,Money Services,STR,Ontario
TX-000182,2022-12-03,26634.279553838118,Banking,LCTR,Alberta
TX-000183,2022-07-08,849.8192920067349,Banking,LCTR,Newfoundland and Labrador
TX-000184,2022-07-30,1876.0195828616522,Securities,LCTR,Newfoundland and Labrador
TX-000185,2022-05-24,3948.929046561258,Banking,ETR,Ontario
TX-000186,2022-07-13,3577.3703968555637,Securities,LCTR,Prince Edward Island
TX-000187,2022-05-12,836.3597964405311,Real Estate,CDR,Newfoundland and Labrador
TX-000188,2022-06-11,2339.1967113934297,Banking,STR,Ontario
TX-000189,2022-12-15,2332.944231308882,Securities,STR,British Columbia
TX-000190,2022-09-12,79.94741144338403,Banking,ETR,British Columbia
TX-000191,2022-04-07,3846.160650001973,Money Services,ETR,Saskatchewan
TX-000192,2022-10-15,11691.481545634473,Casino,LCTR,Ontario
TX-000193,2022-08-11,1695.4993073390167,Banking,LCTR,Ontario
TX-000194,2022-03-26,108.14270128178593,Banking,LCTR,Nova Scotia
TX-000195,2022-01-02,16273.119506777562,Money Services,LCTR,Quebec
TX-000196,2022-07-14,4289.31697018023,Banking,LCTR,Nova Scotia
TX-000197,2022-08-10,1975.074238971175,Real Estate,STR,Saskatchewan
TX-000198,2022-12-30,622.4203234377356,Real Estate,LCTR,Quebec
TX-000199,2022-05-08,837.3084152002997,Securities,LCTR,Ontario
TX-000200,2022-08-25,2287.9486123302504,Banking,LCTR,Nova Scotia
TX-000201,2022-06-03,3476.4391393059336,Banking,STR,Alberta
TX-000202,2022-05-26,3521.8419092639674,Casino,LCTR,Alberta
TX-000203,2022-06-14,5243.307382900531,Casino,STR,Alberta
TX-000204,2022-01-27,15120.73760776436,Real Estate,LCTR,Ontario
TX-000205,2022-11-05,801.8120714500121,Real Estate,LCTR,Newfoundland and Labrador
TX-000206,2022-05-02,2452.0169350228916,Securities,CDR,British Columbia
TX-000207,2022-06-30,4472.726982927986,Banking,LCTR,Manitoba
TX-000208,2022-06-13,6616.74110800097,Banking,LCTR,Ontario
TX-000209,2022-04-21,24294.58023911834,Banking,LCTR,Manitoba
TX-000210,2022-08-27,1293.7877035457345,Securities,STR,Ontario
TX-000211,2022-12-31,695.2250425856499,Money Services,LCTR,New Brunswick
TX-000212,2022-10-23,6838.0980002256565,Securities,LCTR,Nova Scotia
TX-000213,2022-02-08,320.926676834703,Banking,STR,Saskatchewan
TX-000214,2022-04-12,4288.420369849597,Securities,STR,Quebec
TX-000215,2022-01-17,23207.685969780872,Securities,STR,Ontario
TX-000216,2022-08-04,7650.4496445593295,Money Services,ETR,Ontario
TX-000217,2022-07-17,38380.64887520338,Real Estate,LCTR,Ontario
TX-000218,2022-12-31,5579.40909139403,Banking,LCTR,Saskatchewan
TX-000219,2022-10-09,3988.9294055025703,Real Estate,STR,Ontario
TX-000220,2022-05-17,893.4211148256121,Banking,LCTR,Prince Edward Island
TX-000221,2022-08-11,12085.236987449269,Casino,LCTR,Quebec
TX-000222,2022-09-30,5221.444351378328,Securities,LCTR,Ontario
TX-000223,2022-05-11,6107.037251681258,Banking,ETR,Alberta
TX-000224,2022-01-15,9190.096963848691,Securities,LCTR,Ontario
TX-000225,2022-06-10,13834.396215303323,Money Services,STR,Alberta
TX-000226,2022-06-19,53978.31076829133,Banking,STR,Newfoundland and Labrador
TX-000227,2022-04-06,8990.409758849877,Trust and Loan,LCTR,Prince Edward Island
TX-000228,2022-11-14,2988.443683730362,Money Services,ETR,Saskatchewan
TX-000229,2022-09-23,392.21557606348824,Banking,LCTR,Ontario
TX-000230,2022-06-26,479.40351563771077,Securities,STR,Manitoba
TX-000231,2022-10-20,173.50717288123985,Banking,CDR,Nova Scotia
TX-000232,2022-11-01,2199.2441779078817,Banking,CDR,Prince Edward Island
TX-000233,2022-07-17,40247.03550204508,Real Estate,LCTR,Quebec
TX-000234,2022-08-14,758.4344689431166,Trust and Loan,STR,Quebec
TX-000235,2022-03-04,1105.348000346109,Casino,STR,Alberta
TX-000236,2022-11-09,1047.6645473247358,Banking,ETR,Newfoundland and Labrador
TX-000237,2022-09-18,4880.416075918792,Banking,LCTR,Ontario
TX-000238,2022-08-29,794.0879436968306,Securities,ETR,Ontario
TX-000239,2022-08-04,14865.790525933393,Securities,LCTR,Ontario
TX-000240,2022-03-30,4326.384435869155,Securities,STR,Quebec
TX-000241,2022-11-19,1359.9528412604188,Securities,STR,Quebec
TX-000242,2022-06-19,9411.391430615415,Money Services,LCTR,Alberta
TX-000243,2022-05-04,2050.5454496856833,Banking,ETR,Ontario
TX-000244,2022-02-06,1045.9472663806691,Money Services,STR,Quebec
TX-000245,2022-02-09,13582.320774206584,Securities,CDR,Ontario
TX-000246,2022-02-09,5734.986179118718,Securities,STR,Quebec
TX-000247,2022-05-27,12489.623332435138,Banking,STR,British Columbia
TX-000248,2022-09-26,10660.420839208271,Money Services,LCTR,Ontario
TX-000249,2022-07-07,715.1943102829073,Real Estate,ETR,Alberta
TX-000250,2022-01-23,20.6551132527788,Casino,STR,Quebec
TX-000251,2022-03-23,9766.964048953296,Casino,LCTR,Alberta
TX-000252,2022-08-12,357.63111464617526,Banking,LCTR,British Columbia
TX-000253,2022-12-20,4948.935662681411,Securities,ETR,British Columbia
TX-000254,2022-03-15,2541.0622327225506,Casino,LCTR,British Columbia
TX-000255,2022-02-06,442.1060606823146,Real Estate,LCTR,Alberta
TX-000256,2022-08-07,755.0453730873352,Casino,ETR,Ontario
TX-000257,2022-01-22,4740.275381484298,Banking,ETR,Saskatchewan
TX-000258,2022-10-12,2664.35339638776,Money Services,LCTR,Newfoundland and Labrador
TX-000259,2022-01-29,89.88939122444917,Banking,LCTR,Prince Edward Island
TX-000260,2022-02-27,4.120889349183976,Banking,LCTR,Quebec
TX-000261,2022-04-09,2714.3326515361,Banking,ETR,Ontario
TX-000262,2022-10-15,349.87368982220215,Money Services,LCTR,Manitoba
TX-000263,2022-12-03,27482.9690825525,Banking,ETR,Quebec
TX-000264,2022-12-23,5023.431767311604,Securities,STR,Saskatchewan
TX-000265,2022-09-14,1673.1021108428833,Money Services,ETR,British Columbia
TX-000266,2022-10-08,6520.217542554589,Securities,LCTR,Ontario
TX-000267,2022-03-01,855.4793778938241,Real Estate,ETR,Prince Edward Island
TX-000268,2022-06-23,3529.8161282164097,Banking,ETR,Manitoba
TX-000269,2022-01-24,17581.311221728123,Money Services,ETR,Ontario
TX-000270,2022-07-25,4402.9369219312775,Money Services,STR,Ontario
TX-000271,2022-11-15,5245.04079906702,Banking,LCTR,Nova Scotia
TX-000272,2022-03-05,2750.0411196799355,Banking,STR,Newfoundland and Labrador
TX-000273,2022-04-05,6684.4492896390675,Money Services,ETR,Saskatchewan
TX-000274,2022-09-24,2994.7551960170294,Banking,STR,Saskatchewan
TX-000275,2022-06-09,74.4292848658512,Securities,STR,New Brunswick
TX-000276,2022-08-30,1712.6449996405868,Securities,STR,Newfoundland and Labrador
TX-000277,2022-03-18,332.76763002793695,Securities,STR,Ontario
TX-000278,2022-06-23,6041.849110987261,Casino,STR,Ontario
TX-000279,2022-12-26,4988.732300757732,Money Services,STR,Quebec
TX-000280,2022-12-25,4618.087490172234,Banking,CDR,Quebec
TX-000281,2022-12-14,9102.733538910486,Banking,ETR,Alberta
TX-000282,2022-03-25,3799.9513473439883,Securities,ETR,Ontario
TX-000283,2022-05-07,3484.5450505539134,Money Services,STR,Alberta
TX-000284,2022-03-28,5223.652388350857,Securities,LCTR,New Brunswick
TX-000285,2022-08-26,1786.0230571027723,Banking,ETR,Ontario
TX-000286,2022-11-03,730.859880557464,Banking,LCTR,New Brunswick
TX-000287,2022-11-08,33590.58053111724,Money Services,STR,Ontario
TX-000288,2022-04-03,2420.8174150225072,Banking,ETR,British Columbia
TX-000289,2022-08-01,6812.897236305864,Money Services,LCTR,New Brunswick
TX-000290,2022-12-30,7930.738664999828,Securities,LCTR,Ontario
TX-000291,2022-04-15,2597.8318708364645,Money Services,LCTR,Quebec
TX-000292,2022-09-19,5306.5411863288255,Trust and Loan,STR,Newfoundland and Labrador
TX-000293,2022-05-11,4772.2980884299,Money Services,ETR,British Columbia
TX-000294,2022-01-08,2310.7297952324934,Money Services,LCTR,Newfoundland and Labrador
TX-000295,2022-01-02,831.3240904911123,Real Estate,LCTR,British Columbia
TX-000296,2022-11-12,2308.334384941586,Securities,LCTR,Ontario
TX-000297,2022-08-19,740.3535984151977,Securities,CDR,Manitoba
TX-000298,2022-08-17,36.35161380348029,Securities,LCTR,Newfoundland and Labrador
TX-000299,2022-10-30,1129.1352833388557,Real Estate,LCTR,New Brunswick
TX-000300,2022-04-03,1786.7866062137728,Casino,LCTR,British Columbia
TX-000301,2022-06-20,22776.19279218366,Banking,LCTR,Newfoundland and Labrador
TX-000302,2022-04-17,7046.02674877249,Money Services,LCTR,Quebec
TX-000303,2022-02-13,2668.1071790391075,Real Estate,LCTR,Ontario
TX-000304,2022-11-30,237.91039383937783,Securities,CDR,Alberta
TX-000305,2022-04-29,1071.6500468122335,Banking,STR,British Columbia
TX-000306,2022-06-28,171.2975320480581,Banking,CDR,Saskatchewan
TX-000307,2022-10-26,70.37685636209989,Banking,CDR,Ontario
TX-000308,2022-07-03,3363.398579791863,Securities,LCTR,British Columbia
TX-000309,2022-05-06,1586.1721173925503,Money Services,STR,Ontario
TX-000310,2022-12-07,402.3074370249624,Money Services,LCTR,Quebec
TX-000311,2022-03-27,1251.4625892871668,Money Services,CDR,Newfoundland and Labrador
TX-000312,2022-04-24,1184.7203584301978,Casino,ETR,Prince Edward Island
TX-000313,2022-11-24,8868.244086006825,Real Estate,LCTR,Quebec
TX-000314,2022-05-22,2217.211289105776,Money Services,STR,Ontario
TX-000315,2022-07-11,199.61824421188544,Trust and Loan,LCTR,Quebec
TX-000316,2022-03-14,386.64820645218254,Banking,STR,Ontario
TX-000317,2022-04-12,1716.6251114951003,Money Services,ETR,Prince Edward Island
TX-000318,2022-10-06,2570.717378914145,Casino,STR,Ontario
TX-000319,2022-03-30,1726.0264490402744,Money Services,LCTR,Ontario
TX-000320,2022-11-12,3744.7482932541166,Securities,LCTR,Nova Scotia
TX-000321,2022-04-12,308.72195127750854,Money Services,LCTR,Ontario
TX-000322,2022-09-22,2105.5161744508787,Real Estate,LCTR,Ontario
TX-000323,2022-04-27,9587.39495558624,Banking,STR,Ontario
TX-000324,2022-10-27,2956.813392250153,Securities,LCTR,Ontario
TX-000325,2022-12-30,24733.498051158676,Banking,STR,Alberta
TX-000326,2022-10-30,300.21123510428407,Trust and Loan,LCTR,Newfoundland and Labrador
TX-000327,2022-11-20,19739.51587130091,Securities,STR,Ontario
TX-000328,2022-02-21,5582.781666080578,Real Estate,LCTR,Ontario
TX-000329,2022-04-16,4578.837594535483,Money Services,STR,Nova Scotia
TX-000330,2022-12-11,3440.1387492110016,Banking,ETR,Prince Edward Island
TX-000331,2022-06-08,6385.904650967582,Banking,LCTR,Manitoba
TX-000332,2022-02-05,2473.5521601841338,Banking,ETR,Newfoundland and Labrador
TX-000333,2022-06-22,4935.000519076591,Trust and Loan,LCTR,Quebec
TX-000334,2022-08-02,4334.820639505119,Casino,LCTR,British Columbia
TX-000335,2022-05-01,10806.617514867476,Real Estate,LCTR,British Columbia
TX-000336,2022-10-20,1547.0989992469808,Money Services,ETR,Ontario
TX-000337,2022-12-11,409.82321142364776,Money Services,LCTR,Ontario
TX-000338,2022-06-24,1132.4032969501752,Real Estate,LCTR,Ontario
TX-000339,2022-05-30,96.14913081170462,Money Services,LCTR,Ontario
TX-000340,2022-05-18,1261.0093615215656,Money Services,STR,British Columbia
TX-000341,2022-11-16,604.3228926164202,Money Services,LCTR,Nova Scotia
TX-000342,2022-06-16,6747.962691888239,Banking,LCTR,Quebec
TX-000343,2022-03-09,6743.635221194855,Securities,STR,Alberta
TX-000344,2022-08-20,5137.374220007132,Securities,LCTR,Newfoundland and Labrador
TX-000345,2022-03-11,1917.2244565391372,Banking,LCTR,Alberta
TX-000346,2022-01-05,294.23422286900757,Money Services,STR,Ontario
TX-000347,2022-03-08,3559.933061383722,Banking,LCTR,Ontario
TX-000348,2022-08-03,2095.3086984472225,Securities,CDR,Nova Scotia
TX-000349,2022-04-26,251.21085074422788,Securities,CDR,British Columbia
TX-000350,2022-10-14,7547.635722995936,Banking,LCTR,Nova Scotia
TX-000351,2022-02-24,7585.729625316327,Banking,LCTR,Prince Edward Island
TX-000352,2022-05-24,2126.9785293292443,Banking,CDR,Alberta
TX-000353,2022-12-26,7957.857111283015,Banking,LCTR,Alberta
TX-000354,2022-08-19,12256.82205478186,Money Services,LCTR,British Columbia
TX-000355,2022-05-22,513.406403544523,Banking,LCTR,Newfoundland and Labrador
TX-000356,2022-09-15,20209.77698916196,Securities,LCTR,Newfoundland and Labrador
TX-000357,2022-06-03,4435.582434660292,Securities,CDR,Ontario
TX-000358,2022-12-08,3971.227419152381,Securities,LCTR,Newfoundland and Labrador
TX-000359,2022-06-15,9744.538522483117,Securities,ETR,Quebec
TX-000360,2022-05-14,628.1817898047493,Banking,ETR,New Brunswick
TX-000361,2022-06-12,792.1509102883806,Money Services,LCTR,Saskatchewan
TX-000362,2022-09-13,19435.630396311735,Securities,LCTR,New Brunswick
TX-000363,2022-04-05,3060.927624209724,Money Services,ETR,British Columbia
TX-000364,2022-01-25,5511.76090532731,Banking,LCTR,Ontario
TX-000365,2022-03-20,27433.515106619965,Securities,CDR,Nova Scotia
TX-000366,2022-05-21,20112.82635614692,Real Estate,STR,Quebec
TX-000367,2022-06-09,1022.5489349759976,Money Services,LCTR,British Columbia
TX-000368,2022-01-05,8349.884684981089,Securities,STR,Saskatchewan
TX-000369,2022-09-10,4718.281636624326,Banking,LCTR,British Columbia
TX-000370,2022-05-29,531.2650370667283,Banking,STR,Ontario
TX-000371,2022-09-09,4695.966582697415,Money Services,STR,British Columbia
TX-000372,2022-11-04,793.342455216317,Money Services,ETR,Ontario
TX-000373,2022-04-26,2306.494799013603,Money Services,LCTR,Ontario
TX-000374,2022-01-14,809.7648412607695,Securities,CDR,British Columbia
TX-000375,2022-03-03,3003.141490835477,Banking,STR,Prince Edward Island
TX-000376,2022-11-10,877.7872353429905,Money Services,LCTR,Quebec
TX-000377,2022-08-01,927.3744770121639,Banking,STR,Newfoundland and Labrador
TX-000378,2022-07-07,5151.056821532396,Securities,STR,British Columbia
TX-000379,2022-07-15,12255.124823698989,Banking,LCTR,Quebec
TX-000380,2022-08-09,2222.1479186859506,Securities,ETR,Quebec
TX-000381,2022-04-15,440.4301994577575,Money Services,CDR,Quebec
TX-000382,2022-02-17,1247.6217813959067,Casino,STR,Quebec
TX-000383,2022-10-04,10087.045229402022,Securities,LCTR,Ontario
